	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
23.83955	16.463	75.419	58.369	43.969	54.55	19.664	20.94	21.534	17.833	74.335	61.039	56.342	55.437	20.177	23.433	21.599	19.634	68.76	63.704	45.442	56.436	19.441	22.451	20.717	1.873	20.082	9.555	3.664	6.735	9.005	7.857	2.016	17.862	11.398	3.346	4.437	10.674	7.5	6.344	16.864	8.098	3.242	1.96	6.006	11.292
24.00634	16.223	75.13	59.509	44.409	55.2	19.542	21.222	21.527	17.712	74.018	61.864	57.022	55.481	20.343	23.171	21.281	19.544	68.555	64.732	46.256	56.48	18.858	21.986	20.798	1.943	20.537	9.339	3.646	7.064	8.876	8.073	1.946	17.884	11.098	3.472	4.737	10.952	7.774	6.448	17.029	8.056	3.284	1.972	5.473	11.109
24.1729	16.118	74.988	60.354	44.832	55.413	19.664	20.767	21.505	17.747	73.501	62.449	57.666	55.667	20.321	23.232	21.484	19.375	68.501	65.488	46.478	56.58	18.952	22.365	20.89	2.103	20.369	9.065	3.894	7.224	9.005	8.03	2.016	18.236	11.34	3.749	4.869	11.077	7.673	6.747	16.433	7.954	3.242	2.161	6.006	11.177
24.3396	16.197	74.473	60.999	45.392	55.393	19.491	20.828	21.42	17.98	73.91	63.559	58.108	55.786	20.063	23.3	21.299	19.614	68.099	66.111	47.213	57.1	19.353	22.689	21.096	2.166	20.144	9.595	3.751	7.576	9.333	8.271	2.03	18.439	11.011	3.663	4.987	11.388	8.606	6.651	17.266	8.602	3.306	1.991	6.217	12.262
24.50635	16.428	74.243	61.806	45.508	55.652	19.289	20.886	21.708	17.836	73.824	64.452	58.684	56.506	20.38	23.242	21.328	19.758	67.782	66.831	47.357	57.33	18.748	22.343	20.693	1.993	20.403	9.71	3.837	7.893	9.275	9.136	2.232	17.863	11.097	3.808	5.189	11.734	8.577	6.795	16.833	8.515	3.392	1.991	6.073	12.089
24.67294	16.658	74.149	62.701	46.342	55.966	19.555	21.244	21.716	17.875	73.271	65.555	59.087	56.555	19.956	23.232	21.788	19.775	68.001	67.763	48.396	57.723	18.781	22.589	20.906	2.118	21.195	10.074	3.986	8.107	9.668	9.356	2.164	18.246	11.321	3.928	5.111	11.302	8.45	6.936	16.809	8.738	3.316	2.113	6.29	11.74
24.83965	16.182	74.22	63.596	46.779	56.625	19.056	21.038	21.595	17.783	72.708	66.021	59.864	57.21	20.296	23.119	21.363	19.399	67.463	68.519	48.661	57.942	18.743	22.154	21.134	2.033	20.124	9.937	3.983	8.255	9.877	9.393	2.317	18.414	11.043	3.954	5.255	11.232	8.948	7.441	17.523	8.14	3.462	2.054	6.468	12.188
25.00634	16.192	73.413	63.835	47.26	56.549	19.035	20.841	21.746	18.078	72.855	66.548	60.335	57.135	19.841	23.237	21.103	19.461	67.033	68.554	49.113	58.042	18.549	22.39	20.302	2.222	20.187	9.344	4.145	8.299	9.746	9.724	2.272	18.565	11.373	4.174	5.474	11.589	8.673	7.423	16.837	8.384	3.622	2.157	6.482	11.938
25.17309	15.955	73.453	64.454	47.738	56.937	19.317	20.978	21.421	17.724	73.067	66.964	60.868	57.495	19.747	22.796	21.181	19.511	67.362	69.49	49.822	58.923	18.744	22.353	20.15	2.305	20.786	10.176	4.343	8.814	10.001	10.209	2.18	18.615	11.801	4.199	5.325	11.466	9.159	7.474	17.061	8.985	3.676	2.067	6.709	11.932
25.33974	16.273	73.279	65.09	48.085	57.082	18.768	21.065	20.93	17.84	72.721	67.773	61.301	57.582	19.92	23.171	20.718	19.8	66.698	69.779	50.197	58.605	18.427	22.526	20.207	2.218	20.584	10.032	4.314	8.843	10.001	9.632	2.267	18.471	11.858	4.112	5.585	10.802	9.361	7.619	17.003	8.899	3.618	2.125	6.564	12.105
25.50639	16.077	73.124	65.887	48.878	57.473	18.919	21.015	20.937	18.281	72.826	68.397	61.52	58.118	19.349	23.237	21.103	19.606	66.773	70.23	50.875	58.88	18.549	22.101	20.302	2.396	20.36	10.297	4.492	8.992	10.469	10.244	2.128	18.536	11.517	4.289	6.023	11.386	9.106	7.798	17.097	8.731	3.68	2.128	6.656	12.632
25.67301	16.249	73.346	66.272	49.201	57.531	18.896	20.881	21.002	17.655	72.762	69.279	61.9	58.025	19.501	23.141	20.782	19.709	66.789	70.65	51.345	59.363	18.35	22.289	20.313	2.406	20.779	9.823	4.526	9.035	9.967	10.177	2.321	18.516	11.685	4.324	6.149	11.532	9.733	8.028	16.987	8.983	3.633	2.251	7.308	12.254
25.83963	16.176	72.785	66.817	49.57	57.881	18.5	20.914	20.894	17.66	72.516	69.126	61.958	58.177	19.479	23.052	20.746	19.449	66.462	71.277	52.001	59.402	18.621	22.233	20.23	2.318	20.463	10.308	4.413	9.349	10.277	10.341	2.283	18.117	11.124	4.442	6.176	11.949	9.782	7.753	16.909	8.944	3.718	2.223	7.157	12.789
26.00638	16.2	72.731	67.273	50.441	57.975	18.648	20.899	20.611	18.019	72.12	70.632	62.638	58.262	19.197	22.902	20.954	19.644	66.23	71.713	52.5	59.6	18.304	22.222	20.069	2.346	20.71	10.724	4.491	9.528	10.607	11.224	2.295	18.242	11.603	4.927	6.349	11.688	9.794	7.892	17.029	9.075	3.834	2.101	6.788	13.074
26.17302	16.065	72.503	67.742	50.516	58.506	18.627	20.818	20.502	18.112	72.413	70.404	62.616	58.795	19.001	22.993	20.665	19.966	66.206	71.891	53.009	59.988	18.284	22.4	20.481	2.42	20.194	10.013	4.711	9.397	10.33	10.28	2.192	18.828	11.528	5.031	6.307	12.16	9.662	7.815	16.66	8.826	3.82	2.292	6.773	12.765
26.3397	16.294	71.879	68.102	51.382	58.803	18.655	20.964	20.415	17.794	72.603	70.737	63.553	59.176	19.465	22.824	20.528	19.478	65.9	72.282	53.471	60.253	18.195	22.491	20.424	2.524	20.892	10.7	4.756	9.939	11.076	11.114	2.445	19.09	12.073	4.844	6.353	12.129	9.944	8.362	17.297	9.08	3.954	2.221	7.228	13.051
26.50645	16.351	72.013	68.579	51.797	58.66	18.747	20.802	20.682	17.863	72.422	71.249	63.183	59.318	19.385	22.929	20.292	19.582	66.059	72.708	53.686	60.769	17.908	22.681	20.348	2.564	20.993	10.487	4.791	9.984	10.69	11.368	2.407	19.159	11.864	4.966	6.887	11.899	10.168	8.304	16.78	8.985	4.082	2.314	7.36	12.848
26.67308	15.975	71.619	68.914	52.368	58.919	18.423	20.964	20.357	17.794	71.733	71.462	63.118	59.292	18.943	23.23	20.789	19.507	65.726	72.775	54.196	60.891	18.108	22.607	20.25	2.553	20.66	10.005	5.104	10.316	10.467	11.23	2.387	19.177	11.957	5.308	6.875	12.187	9.973	8.276	16.775	8.935	3.954	2.366	7.518	12.53
26.83983	16.012	71.813	69.281	52.801	59.54	18.552	21.069	20.487	18.014	71.757	71.572	63.713	59.677	19.16	22.962	20.38	20.079	65.832	73.32	54.804	60.984	17.917	22.482	20.732	2.638	20.446	10.239	5.272	10.491	10.848	11.438	2.594	18.991	11.411	5.419	6.96	11.879	10.442	8.285	17.339	9.23	4.126	2.419	7.084	13.032
27.00649	16.209	71.853	69.873	53.541	59.872	18.516	21.061	20.625	17.89	71.796	72.25	63.841	59.981	19.008	22.953	20.197	19.461	65.727	73.766	55.399	60.968	17.997	22.474	20.202	2.575	20.758	10.495	5.123	10.602	10.843	11.839	2.676	18.722	12.596	5.734	7.246	11.727	10.784	8.743	16.578	9.108	4.412	2.473	7.514	12.909
27.17318	16.2	71.166	69.795	54.151	59.685	18.329	20.812	20.234	17.787	71.802	72.43	63.826	60.146	18.704	22.902	20.2	19.672	65.273	73.453	55.515	61.455	17.956	22.773	20.591	2.636	20.391	10.637	5.187	10.716	10.462	11.456	2.469	18.648	11.98	5.883	6.958	12.354	10.374	8.936	16.71	9.017	4.355	2.478	7.339	12.813
27.33979	15.869	70.985	70.107	54.122	59.826	18.286	20.825	20.017	17.946	71.736	72.538	64.024	60.347	18.487	23.088	19.921	19.714	65.18	73.706	55.949	61.424	17.943	22.496	20.749	2.598	20.347	10.539	5.497	11.257	10.77	11.909	2.69	19.589	11.795	5.991	6.92	12.718	10.623	8.517	16.58	9.295	4.375	2.527	7.821	13.815
27.50648	15.863	70.881	70.089	54.542	60.186	18.482	20.876	19.836	17.938	71.022	72.867	63.92	60.678	18.451	23.137	19.738	19.387	65.134	73.919	56.369	61.929	18.197	22.98	20.944	2.883	20.194	10.679	5.522	10.73	11.025	12.25	2.598	18.973	12.194	5.987	7.437	13.232	10.473	9.061	16.805	9.087	4.631	2.552	7.99	13.287
27.67307	16.084	71.311	70.346	55.34	60.265	18.503	20.58	19.799	18.048	71.338	72.864	64.174	60.784	18.327	23.366	19.939	19.383	65.012	73.888	56.732	61.977	18.101	23.092	21.431	2.897	19.87	10.434	5.592	10.745	11.042	11.398	2.73	19.518	12.212	6.347	8.001	12.296	10.895	8.994	17.0	9.104	4.732	2.391	7.773	14.06
27.83985	16.024	70.787	70.603	55.788	60.703	18.903	20.976	20.112	17.807	71.072	72.917	64.436	60.965	18.726	23.236	20.009	19.37	65.128	74.287	57.121	62.274	18.154	23.253	21.218	2.787	20.41	10.784	6.007	10.546	10.928	12.76	2.702	19.219	11.777	6.499	7.688	12.784	10.607	9.338	16.675	9.278	4.912	2.544	7.574	13.708
28.00651	16.332	70.898	70.802	55.948	60.666	18.634	20.912	19.959	17.946	70.866	73.436	64.111	61.824	18.313	23.378	19.689	19.54	64.804	74.169	57.514	62.351	18.378	23.191	21.039	2.772	20.521	11.206	5.7	10.967	11.031	12.053	2.69	19.328	12.113	6.57	7.644	12.949	11.145	9.242	16.522	9.556	4.955	2.527	7.589	13.148
28.17315	16.011	70.723	70.741	56.424	61.046	18.975	20.845	19.895	17.966	70.92	73.343	64.46	61.483	18.423	23.422	19.557	19.267	64.745	74.135	57.728	62.706	18.43	23.439	21.289	2.952	20.394	10.773	6.085	10.622	11.032	12.458	2.749	19.753	11.332	6.722	7.621	13.291	11.493	8.977	16.488	9.817	5.018	2.594	8.316	14.448
28.33987	16.301	70.375	70.857	56.974	61.191	18.889	20.787	19.837	17.995	70.775	73.632	64.46	61.83	18.452	23.422	19.47	19.527	64.919	74.337	57.96	62.503	18.43	23.121	21.202	2.836	19.729	11.034	6.375	10.767	10.946	12.285	2.749	19.58	11.997	7.012	8.286	12.654	10.798	9.122	17.125	9.209	5.105	2.536	7.477	13.869
28.50659	15.953	70.578	71.088	57.061	61.422	19.236	20.787	20.126	17.995	70.833	73.545	64.489	62.033	18.51	23.827	19.702	19.412	64.456	74.569	58.307	62.966	18.517	23.236	21.347	3.01	21.349	11.266	6.548	11.346	11.032	12.4	2.865	19.377	12.287	7.446	8.286	13.349	11.059	9.296	16.806	9.47	4.816	2.623	8.027	13.203
28.67327	15.929	70.378	71.096	57.617	61.301	19.249	21.038	19.82	18.129	70.668	73.906	64.574	62.254	18.319	23.682	19.618	19.668	64.572	74.436	58.633	63.59	18.586	23.406	21.687	2.968	19.69	11.262	6.649	11.37	11.174	12.025	2.717	20.121	12.317	8.013	8.451	13.274	11.29	9.391	16.789	9.207	5.384	2.809	8.543	13.905
28.83994	16.128	69.897	71.429	57.91	61.746	19.278	20.895	20.109	18.014	70.421	73.894	64.555	62.522	18.289	23.717	19.771	19.557	64.613	74.511	59.072	63.626	18.875	23.44	21.98	3.102	20.272	10.587	6.927	11.188	11.167	12.106	3.0	20.443	12.079	7.829	8.47	13.389	11.312	9.736	16.469	8.882	5.491	2.738	8.535	13.583
29.00651	16.018	69.698	71.454	58.205	61.787	19.561	20.621	20.278	18.407	70.157	73.911	64.477	62.483	18.285	23.575	20.174	19.507	64.473	74.703	59.394	63.619	19.132	23.882	22.426	3.188	20.055	11.358	6.987	11.525	11.646	12.899	2.871	20.311	11.858	8.145	8.639	13.472	11.383	9.679	16.553	8.983	5.457	2.772	8.292	13.673
29.17332	15.987	70.204	71.299	58.545	62.287	19.597	20.922	20.255	17.897	70.32	74.08	64.661	62.718	18.609	23.856	19.734	19.843	64.369	74.842	59.562	64.025	19.195	23.755	22.412	3.258	20.299	11.262	7.2	11.66	11.609	12.605	3.007	20.846	12.433	8.187	8.247	13.245	11.638	9.797	16.702	9.41	5.646	2.838	8.891	13.992
29.34001	16.268	69.896	71.537	58.888	62.446	19.728	21.02	20.328	18.199	70.066	74.113	64.442	63.199	18.625	24.093	19.999	19.474	64.352	74.412	59.73	64.16	19.414	23.965	22.393	3.202	20.629	11.49	7.637	11.454	11.923	13.09	2.945	20.422	12.108	8.594	8.653	13.29	11.69	9.843	17.095	9.319	5.819	2.9	8.308	14.243
29.50658	16.258	69.948	71.563	58.963	62.961	20.126	20.957	20.582	18.135	70.265	73.908	64.522	63.248	18.849	24.381	20.026	19.759	64.607	74.728	59.863	64.122	19.609	23.99	22.823	3.244	20.304	11.42	7.535	11.441	11.738	13.022	3.223	20.706	12.125	8.985	8.407	13.775	11.707	9.719	16.507	9.509	5.921	2.999	8.585	14.321
29.67336	16.036	69.49	71.595	59.38	62.996	20.133	20.876	20.589	17.996	70.414	74.315	64.442	63.17	19.001	24.267	19.738	19.792	64.149	74.73	59.961	64.884	19.674	24.313	22.885	3.405	20.339	11.461	7.811	11.425	12.184	13.235	3.235	20.798	12.571	9.347	8.856	13.319	11.487	9.872	16.226	9.84	6.051	2.958	8.83	14.04
29.84003	16.433	69.633	71.439	59.582	63.028	20.429	20.992	20.684	18.055	69.796	73.918	64.561	63.558	19.154	24.367	20.036	19.697	63.745	74.653	60.191	64.726	19.741	24.272	23.138	3.336	19.644	11.639	8.061	11.866	11.896	13.577	3.123	20.853	12.54	9.245	8.609	14.312	11.747	9.83	16.903	9.667	6.266	2.839	8.865	14.144
30.00666	16.231	69.489	71.699	60.015	63.374	20.457	20.992	21.233	17.738	70.142	73.86	64.59	63.992	19.068	24.367	20.238	19.523	63.919	74.48	60.163	65.102	20.059	24.272	23.34	3.422	20.424	11.292	8.668	11.259	12.359	12.913	3.152	21.026	12.28	10.14	8.783	13.966	11.401	10.003	17.221	9.407	6.237	2.81	8.778	14.144
30.17329	16.256	69.542	71.675	60.131	63.338	20.64	21.323	21.009	18.097	69.624	73.93	64.61	63.658	19.074	24.655	20.27	19.805	64.056	74.722	60.654	65.489	20.152	24.585	23.622	3.627	20.584	11.653	9.366	12.37	12.144	12.934	3.05	21.535	12.385	9.685	8.817	13.884	12.373	10.583	16.878	9.886	6.302	3.037	8.732	14.809
30.3401	16.658	69.356	71.623	60.374	63.819	20.797	21.446	21.312	17.875	70.268	74.246	64.659	64.062	19.263	24.762	20.604	19.833	63.786	74.606	60.551	65.259	20.398	24.725	23.823	3.389	19.463	11.749	9.269	11.803	12.526	13.716	3.233	21.336	12.13	10.28	8.98	13.901	12.29	9.939	16.809	9.402	6.723	3.066	8.513	14.714
30.50669	16.26	69.315	71.554	60.563	63.721	21.237	21.425	21.406	18.142	70.315	74.091	64.676	64.338	19.53	24.916	20.7	19.754	63.919	75.0	60.971	65.968	20.81	24.676	24.033	3.769	20.655	12.159	9.476	11.866	13.08	13.375	3.296	21.546	12.136	10.371	8.783	14.081	12.383	10.841	16.816	9.667	6.843	3.099	9.298	13.797
30.67339	16.318	68.853	71.468	60.679	63.894	21.468	21.396	21.724	18.055	69.68	74.178	64.561	64.511	19.53	25.002	20.758	19.754	63.832	74.538	61.058	65.939	20.925	24.936	24.293	3.653	20.077	11.581	9.39	12.241	12.301	13.722	3.036	21.95	13.233	10.4	9.1	14.226	12.123	10.927	16.961	10.158	6.843	3.156	8.836	14.577
30.84001	16.472	68.975	71.269	60.891	64.419	21.532	21.488	21.933	18.119	69.28	73.949	64.769	64.865	19.855	25.091	21.018	19.931	63.434	74.251	61.184	66.236	21.076	24.881	24.296	3.755	20.371	11.882	10.154	11.59	12.601	14.338	3.193	21.839	12.724	11.222	9.085	14.32	12.105	10.82	17.026	10.083	7.001	3.144	9.166	15.134
31.00665	16.408	68.871	71.395	61.049	64.142	21.929	21.769	22.012	18.487	69.695	73.959	64.608	64.733	19.963	25.169	21.096	19.894	63.388	74.55	61.197	66.277	21.127	25.219	24.721	3.635	20.392	11.79	10.467	12.45	12.249	13.38	3.216	21.917	12.776	11.505	9.167	14.37	12.59	10.929	17.135	10.222	6.967	3.14	9.853	14.867
31.17334	16.261	68.842	71.391	61.143	64.517	21.948	21.701	22.292	18.275	69.49	73.952	64.782	65.37	20.099	25.095	21.309	19.795	63.389	74.371	61.464	66.771	21.465	25.176	24.765	3.785	20.238	11.503	10.557	12.163	12.941	14.012	3.159	21.992	12.602	11.911	9.113	14.536	12.589	10.721	16.984	9.702	7.144	3.206	9.162	14.747
31.34009	16.51	68.53	71.204	61.333	64.9	22.387	21.65	22.208	18.454	69.445	73.83	64.901	65.486	20.447	25.405	21.363	20.213	63.595	74.449	61.394	67.058	21.554	25.193	25.301	4.13	20.1	12.031	11.138	12.344	13.272	14.289	3.399	22.437	12.384	11.716	9.288	14.247	12.545	11.121	17.155	10.002	7.61	3.371	9.574	14.655
31.50675	16.408	68.698	71.337	61.222	64.95	22.563	21.913	22.531	18.4	69.406	73.584	64.666	65.628	20.597	25.428	21.673	20.327	63.388	74.29	61.687	66.969	21.79	25.421	25.24	3.808	20.133	11.299	11.592	12.825	13.143	14.303	3.216	22.61	12.458	11.938	9.484	14.717	13.369	11.592	17.135	9.471	7.833	3.226	9.939	14.81
31.67337	16.706	68.877	71.399	61.52	65.359	22.655	21.976	22.682	18.262	69.555	74.047	64.903	65.779	20.806	25.748	21.731	20.215	63.337	74.149	61.755	67.006	21.941	25.741	25.589	3.909	20.6	11.456	11.865	12.29	13.126	13.938	3.43	22.845	12.412	12.441	9.642	15.214	13.206	11.225	16.998	9.627	7.586	3.329	9.778	15.107
31.8401	16.725	68.582	71.193	61.482	65.498	22.794	22.0	22.964	18.66	69.406	73.959	65.098	66.176	20.857	25.804	21.846	20.414	63.215	73.887	61.889	67.2	22.281	25.796	25.76	4.096	20.306	11.992	12.285	12.998	13.057	14.159	3.447	23.014	12.285	12.803	9.773	14.399	13.369	10.755	17.221	9.529	7.775	3.428	10.17	15.069
32.0067	16.51	68.772	71.193	61.737	65.608	23.007	22.242	23.115	18.697	69.346	73.911	64.969	66.508	21.122	25.92	22.085	20.317	63.17	74.153	61.884	67.557	22.403	25.937	25.814	4.057	20.489	11.879	12.951	13.06	12.949	14.259	3.363	23.149	11.858	12.43	9.739	14.92	13.12	11.531	17.74	9.967	8.352	3.467	9.943	15.41
32.1734	16.529	68.234	70.94	61.959	65.733	23.191	22.137	23.416	18.679	68.978	73.539	64.866	66.752	21.395	26.039	22.375	20.354	62.981	73.869	61.933	67.802	22.56	26.029	26.137	4.317	20.876	11.701	12.541	13.546	13.376	14.887	3.416	23.214	12.865	13.351	9.795	14.789	13.286	11.721	17.378	9.846	7.886	3.384	10.082	15.022
32.34008	16.722	68.488	71.052	61.978	65.902	23.533	22.218	23.469	18.963	69.234	74.0	64.975	66.716	21.505	26.182	22.49	20.263	63.177	73.953	62.27	68.056	22.93	26.171	26.424	4.129	20.234	12.065	13.686	13.158	13.365	14.588	3.433	23.384	12.593	13.802	10.158	14.753	13.362	11.424	17.4	9.979	8.423	3.57	10.244	15.418
32.50675	16.356	68.234	70.94	61.814	66.109	23.914	22.484	23.619	18.853	68.718	73.221	64.866	67.127	21.626	26.212	22.548	20.354	62.779	73.84	61.933	68.034	22.994	26.289	26.599	4.202	20.529	11.961	13.178	13.199	12.827	14.019	3.272	23.358	12.518	13.525	9.708	15.338	13.372	11.576	17.436	10.135	8.464	3.557	9.909	15.224
32.67351	16.427	67.825	70.785	62.02	66.273	23.944	22.485	23.853	19.116	69.027	73.178	64.804	67.44	21.861	26.553	22.856	20.468	62.66	73.711	62.284	68.319	23.199	26.255	26.796	4.197	20.069	11.373	14.004	14.026	12.959	15.217	3.377	23.732	12.274	13.484	10.019	14.998	13.56	11.844	17.56	9.633	8.715	3.672	10.043	14.397
32.84016	16.668	67.89	70.818	62.145	66.537	24.15	22.634	23.974	18.948	68.8	73.324	64.954	67.561	22.011	26.583	23.0	20.76	62.782	73.858	62.409	68.701	23.608	26.488	26.943	4.529	20.565	11.876	14.853	12.883	13.288	14.505	3.533	23.879	12.718	13.583	10.177	15.005	13.744	12.083	17.914	9.818	9.103	3.746	10.113	15.127
33.00686	16.568	68.288	70.609	62.171	66.876	24.278	22.618	24.333	18.991	68.765	73.489	64.747	67.382	22.255	26.651	23.5	21.002	62.662	73.619	62.233	68.753	23.794	26.817	27.242	4.404	21.069	12.067	15.014	13.651	13.997	15.069	3.436	23.805	12.331	14.061	10.166	14.962	13.789	12.27	18.015	9.691	9.293	3.708	10.274	14.94
33.17355	16.879	67.677	70.442	62.241	66.537	24.67	22.869	24.356	19.016	68.774	72.792	64.969	67.916	22.481	26.734	23.429	20.927	62.37	73.329	62.362	69.262	24.161	26.646	27.415	4.486	20.889	11.674	15.216	13.657	13.882	14.516	3.244	24.131	12.766	13.347	10.069	14.939	13.872	12.709	17.878	10.186	9.331	3.743	10.569	14.468
33.34025	16.834	67.94	70.306	62.445	67.061	24.859	22.971	24.745	19.204	69.097	72.714	64.974	68.209	22.67	26.868	23.449	21.26	62.375	73.624	62.451	69.383	24.436	26.836	27.548	4.697	21.078	11.886	14.826	13.381	13.808	14.989	3.456	24.148	13.18	14.307	10.452	15.212	14.115	13.126	17.749	10.025	9.371	3.837	10.696	15.516
33.50684	16.773	67.98	70.463	62.596	67.219	25.352	22.888	24.892	19.177	69.053	73.075	65.014	68.308	22.96	27.192	23.89	21.006	62.788	73.151	62.716	69.711	24.497	26.959	28.016	4.543	21.282	11.994	15.712	13.145	14.436	15.072	3.478	24.47	12.514	14.129	9.956	14.982	13.996	12.321	17.691	9.818	9.767	3.998	10.891	14.882
33.67353	16.958	67.947	69.908	62.569	67.496	25.466	23.119	25.008	19.467	68.958	72.745	65.21	68.473	23.249	27.472	23.764	21.148	62.526	73.311	62.519	69.992	24.756	27.269	28.382	4.854	21.427	11.668	15.296	13.565	13.933	15.055	3.64	24.553	12.502	14.117	10.437	15.42	13.866	12.357	17.642	10.381	9.412	4.054	10.477	15.237
33.84022	16.85	67.467	69.852	62.613	67.667	25.801	23.398	25.202	19.491	69.132	72.943	65.245	68.936	23.3	27.368	23.858	21.251	62.306	73.338	62.563	70.141	25.15	27.168	28.509	4.73	21.535	11.71	15.936	13.519	14.229	14.631	3.366	25.258	12.34	15.274	11.169	14.931	13.989	12.787	18.502	10.163	9.797	3.762	10.518	14.953
34.00696	16.907	67.467	70.225	62.814	67.897	26.059	23.398	25.288	19.519	68.615	72.57	65.13	68.993	23.702	27.54	24.202	21.251	62.449	73.022	62.735	70.685	25.351	27.541	28.853	4.873	22.023	12.943	16.194	13.749	13.713	16.237	3.538	25.516	11.938	15.159	10.969	15.275	14.419	12.816	18.789	10.421	10.055	4.106	10.546	15.097
34.17368	17.092	67.587	69.974	62.645	67.961	26.248	23.587	25.419	19.707	68.765	72.664	65.165	69.315	23.775	27.674	24.422	21.498	61.966	72.886	62.767	70.462	25.769	27.616	29.13	4.911	21.695	12.668	16.924	13.789	14.012	15.304	3.406	25.276	12.208	15.028	10.893	15.462	14.145	12.658	18.804	9.83	10.21	3.971	10.558	14.536
34.34016	16.783	67.173	69.877	62.776	68.066	26.773	23.595	25.686	19.887	68.611	72.539	65.382	69.419	24.185	27.941	24.317	21.449	62.069	72.991	62.668	70.709	26.064	27.884	29.512	4.916	22.133	12.674	16.901	13.623	14.075	15.396	3.325	25.227	12.099	14.776	10.554	14.522	14.323	12.637	18.61	10.324	10.302	4.062	10.994	15.461
34.50695	17.015	67.106	69.634	62.798	68.423	26.853	23.878	26.026	19.827	68.369	72.495	65.285	69.606	24.181	27.846	24.736	21.386	62.117	72.746	62.805	70.553	26.088	27.962	29.675	5.298	22.445	11.561	17.048	14.03	14.596	14.969	3.36	25.651	12.965	15.067	10.877	14.838	14.556	12.895	18.839	10.616	10.967	4.016	10.426	15.118
34.6736	17.108	67.467	69.68	62.986	68.47	27.492	23.771	26.12	19.777	68.472	72.341	65.417	70.169	24.447	28.286	25.033	21.653	61.933	72.707	62.793	71.259	26.297	28.229	29.914	5.074	22.195	11.739	17.8	14.638	14.315	15.291	3.309	25.775	12.369	14.987	10.883	15.132	14.476	12.816	18.933	10.249	10.715	4.135	10.718	15.297
34.84029	17.139	67.056	69.409	62.75	68.713	27.629	23.91	26.431	19.803	68.746	72.411	65.234	70.012	24.844	28.334	25.05	21.819	61.895	72.606	62.815	71.389	26.894	28.364	30.305	5.054	22.42	11.946	17.143	14.356	14.463	15.322	3.43	26.226	12.488	15.25	10.862	15.361	14.823	12.873	19.304	10.369	10.777	4.175	10.61	15.241
35.00697	17.319	67.224	69.7	62.939	68.838	27.918	23.993	26.629	20.141	68.291	71.934	65.176	70.534	24.956	28.573	25.352	21.734	62.119	72.701	63.147	71.651	27.151	28.629	30.488	5.534	22.847	12.461	17.983	14.96	13.95	16.248	3.571	26.259	13.007	15.282	11.087	15.348	14.859	13.089	19.235	9.91	10.692	4.161	10.839	14.879
35.17363	17.108	66.836	69.107	62.843	68.814	28.209	24.201	26.808	20.265	68.788	72.083	65.216	70.513	25.164	28.63	25.377	22.083	61.589	72.678	62.993	72.062	27.444	28.688	30.917	5.131	22.653	11.653	18.402	14.523	14.602	16.036	3.509	25.947	12.34	15.676	10.969	14.931	14.591	13.246	19.42	9.962	11.231	4.278	11.321	14.953
35.34031	17.524	67.107	69.242	63.106	69.303	28.681	24.322	27.102	20.353	68.292	72.197	65.52	70.911	25.486	28.851	25.834	22.007	61.772	72.446	63.17	71.969	27.769	29.049	31.284	5.645	22.63	11.685	17.872	14.502	14.21	16.196	3.456	26.534	12.749	15.485	10.711	15.701	14.402	13.327	19.272	10.715	10.98	4.154	11.098	15.257
35.50694	17.438	66.906	69.242	63.077	69.475	29.112	24.207	27.13	20.468	68.034	72.082	65.52	71.256	25.773	29.167	26.035	22.122	61.973	72.36	62.997	72.343	28.057	29.222	31.686	5.53	22.974	11.627	18.533	14.962	14.727	15.851	3.686	26.649	12.491	16.261	11.142	15.298	14.805	13.413	19.445	10.715	10.98	4.24	11.529	15.2
35.6736	17.696	66.848	69.213	63.077	69.475	29.371	24.408	27.561	20.554	68.666	71.938	65.52	71.457	26.147	29.167	26.265	22.266	61.801	72.647	63.141	72.602	28.344	29.509	31.859	5.875	23.434	12.058	19.395	14.617	14.641	15.765	3.657	26.821	13.18	15.686	11.458	16.476	14.488	13.126	19.502	10.399	11.613	4.441	11.184	15.257
35.84042	17.639	66.647	69.127	63.192	69.82	29.802	24.465	27.734	20.468	68.407	71.996	65.348	71.543	26.377	29.655	26.208	22.266	61.312	72.13	63.084	72.717	28.833	29.595	32.347	5.789	23.262	11.627	18.447	14.157	14.584	15.937	3.686	26.965	12.577	15.916	11.113	15.269	14.546	13.988	19.703	10.456	11.469	4.326	11.615	15.257
