	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
30.00669	4.897	15.512	23.136	19.853	25.575	16.876	10.021	9.467	5.478	15.741	22.749	19.564	25.191	17.265	11.385	9.741	6.0	16.552	23.634	20.067	25.112	17.385	10.217	9.292	21.465	14.248	20.391	20.771	21.905	14.576	21.005	21.528	21.205	14.451	21.102	21.915
30.17358	4.348	15.585	22.893	20.152	25.558	17.688	9.982	9.486	5.781	16.068	23.303	19.494	25.09	17.166	11.374	9.873	6.161	16.454	23.448	20.309	25.096	17.543	10.377	9.594	21.279	14.834	20.661	20.928	21.833	14.365	21.104	21.683	22.157	14.326	21.087	21.872
30.34015	4.556	15.711	23.164	20.109	25.518	16.99	9.992	9.638	5.535	15.968	23.517	19.65	25.276	17.236	11.556	9.826	6.427	16.382	23.72	20.579	25.197	17.357	10.701	9.605	21.124	14.675	20.562	20.658	21.735	14.548	21.176	21.471	21.091	14.764	20.931	21.631
30.50677	4.575	15.671	23.035	20.266	25.644	16.977	10.807	9.912	5.696	15.898	23.217	19.579	25.431	17.336	11.545	9.361	6.36	16.369	23.306	20.451	25.38	17.372	10.519	9.452	20.909	14.322	20.32	20.899	21.122	14.365	20.849	21.883	21.019	14.809	21.002	21.474
30.67348	4.96	15.652	23.353	20.131	25.733	17.413	10.678	9.784	5.795	15.593	22.938	19.7	25.236	17.202	11.984	10.483	6.403	16.321	23.453	20.344	25.101	17.267	10.589	9.948	20.914	14.759	20.299	20.82	21.383	14.12	21.339	21.775	20.713	14.905	20.838	21.85
30.84018	4.557	15.845	22.465	20.039	25.668	17.18	10.048	10.035	5.79	15.785	23.016	19.637	25.37	17.536	12.376	10.364	6.057	16.485	23.275	20.365	25.263	17.261	11.322	10.227	20.906	14.838	20.604	20.558	21.347	14.0	20.791	21.256	21.558	14.814	21.002	21.956
31.00676	4.912	15.863	22.8	19.804	25.692	17.113	10.489	10.675	5.776	15.806	23.124	19.714	25.48	17.216	11.767	10.749	6.441	16.192	23.184	20.216	25.344	17.593	11.509	10.385	20.93	14.43	20.54	20.636	21.199	14.53	20.813	21.705	20.983	14.007	21.279	21.979
31.17352	5.031	15.718	22.449	20.025	25.652	16.684	11.09	10.565	5.866	15.573	23.086	19.509	25.354	17.295	12.28	10.382	6.644	16.33	23.146	20.408	25.389	17.049	11.708	10.443	21.231	14.144	20.334	20.714	21.019	14.187	21.288	21.299	21.401	14.802	21.158	21.686
31.34014	4.946	15.576	22.563	20.139	25.879	17.11	11.033	10.508	6.178	15.829	23.029	19.623	25.297	17.039	12.734	11.148	6.644	16.244	23.401	20.096	25.389	17.588	11.794	10.556	20.891	14.485	20.363	20.515	20.849	14.585	20.692	21.81	20.719	14.376	21.215	21.686
31.50685	5.23	15.974	22.733	20.451	25.538	17.281	11.004	11.19	6.292	15.573	23.114	19.879	25.525	17.437	12.99	11.205	6.729	16.386	23.345	20.578	25.247	17.418	11.907	11.266	20.862	14.286	20.448	20.6	20.991	14.329	20.948	21.412	21.372	14.149	21.215	21.516
31.67354	4.97	15.712	22.385	20.189	25.814	17.019	10.943	11.128	6.344	15.85	23.078	19.588	25.431	17.543	12.984	12.052	6.838	16.408	23.308	20.344	25.467	17.497	11.788	10.835	20.854	14.223	20.952	20.678	20.898	14.437	21.111	21.377	21.024	14.2	21.293	21.565
31.84024	4.847	15.898	22.824	20.43	25.854	16.836	11.614	11.628	6.249	15.553	22.58	19.602	25.5	17.331	12.689	11.672	7.141	16.367	23.293	20.415	25.479	16.944	11.72	11.079	20.668	14.694	20.824	20.749	20.968	13.886	21.352	21.362	20.612	14.188	21.108	21.664
32.00687	5.5	15.766	22.501	20.16	25.847	17.243	11.588	11.688	6.506	15.678	23.052	19.644	25.549	17.486	13.66	11.733	7.113	16.406	23.283	20.259	25.669	17.068	12.095	11.283	20.744	14.247	20.867	20.735	21.212	14.091	21.168	21.69	20.883	14.706	21.066	21.964
32.17364	5.543	15.965	22.773	20.324	25.858	16.817	12.165	11.556	6.376	15.703	22.869	19.837	25.504	17.395	13.949	12.109	7.041	16.432	23.27	20.365	25.341	17.265	12.98	11.828	20.73	14.676	20.972	20.67	20.548	14.549	21.245	21.539	20.675	14.341	21.483	22.124
32.34035	5.296	15.816	22.749	20.067	26.066	17.038	11.838	12.194	6.586	15.615	22.845	19.637	25.654	17.223	13.37	12.012	7.108	16.314	23.246	20.593	25.519	17.147	12.174	11.534	20.991	14.241	20.803	20.87	21.12	13.943	21.331	21.484	20.99	14.473	21.257	21.843
32.50696	5.315	15.747	22.478	20.366	26.248	17.167	12.282	12.269	6.576	15.488	22.745	19.793	25.61	17.096	13.7	12.597	7.61	16.33	23.345	20.323	25.475	17.304	12.759	11.976	20.862	14.57	20.675	20.856	20.849	14.244	21.146	21.725	20.293	14.404	21.328	21.998
32.67366	5.388	15.918	22.325	20.389	26.004	17.054	12.121	12.079	6.503	15.541	22.506	19.816	25.622	16.949	14.47	12.829	7.14	16.696	22.765	20.174	25.488	17.274	12.905	11.981	20.962	14.856	20.61	20.904	20.922	14.219	21.507	21.573	20.795	14.635	21.632	22.045
32.84027	5.297	15.977	22.561	20.196	26.102	17.766	12.517	12.616	6.783	15.631	22.657	19.681	25.691	17.352	13.932	12.858	8.214	16.644	23.37	20.465	25.698	17.392	13.105	12.095	20.576	13.837	21.242	20.6	20.988	13.908	21.543	21.695	20.832	14.211	21.271	21.969
33.00706	5.483	15.997	22.674	20.432	26.177	17.331	12.606	12.563	6.651	15.814	22.713	19.833	25.767	17.135	14.297	13.338	7.091	16.348	22.943	20.64	25.436	17.209	13.271	12.291	20.799	14.202	20.822	20.747	21.044	13.821	21.406	21.67	20.835	14.407	21.502	21.971
33.17361	5.676	16.255	22.344	20.552	26.303	17.079	12.803	13.213	6.988	15.819	23.006	19.867	25.78	17.425	14.327	12.716	7.568	16.664	23.123	20.591	25.561	16.987	13.159	12.886	20.838	14.883	21.113	20.698	20.884	14.105	21.555	21.707	20.617	14.209	21.51	22.15
33.34034	5.685	15.899	22.642	20.566	26.234	16.667	12.956	13.111	7.111	15.946	22.653	19.852	25.739	17.75	14.367	13.606	7.635	16.592	23.422	20.521	25.577	17.056	13.596	12.898	20.797	14.073	21.184	20.344	20.927	14.202	21.542	21.325	20.376	14.561	21.383	22.023
33.50701	5.54	16.185	22.487	20.504	26.24	16.925	13.111	13.492	6.706	15.773	22.809	19.707	25.691	17.264	15.053	13.614	7.937	16.563	23.152	20.484	25.727	17.17	13.773	13.103	21.007	14.505	20.75	20.704	20.715	14.125	21.391	21.626	20.762	14.541	21.77	22.012
33.67372	5.54	16.1	22.713	20.645	26.466	16.699	13.366	13.322	6.791	16.028	22.555	19.989	25.775	16.868	15.053	14.123	8.022	16.592	23.322	20.625	25.614	17.481	13.829	14.007	20.583	13.969	21.203	20.789	20.885	13.842	21.956	21.146	20.706	14.457	21.77	21.843
33.84046	5.568	16.308	22.589	20.461	26.261	17.076	13.681	13.553	6.877	16.068	22.628	20.172	25.909	16.711	14.806	14.187	7.798	16.687	23.028	20.555	25.662	17.35	14.035	14.214	21.252	14.711	21.331	20.832	20.535	14.217	21.66	21.67	20.891	14.576	21.729	22.198
34.00705	6.035	16.195	22.69	20.54	26.3	17.274	13.66	13.644	7.538	15.838	23.04	19.968	26.005	17.159	15.232	14.077	7.979	16.798	23.214	20.604	25.845	17.207	14.235	14.045	20.644	14.149	21.181	20.569	20.947	14.277	21.679	21.294	20.43	14.439	21.861	22.216
34.17373	5.879	16.27	22.656	20.73	26.495	17.66	13.902	13.915	7.384	16.112	22.922	20.243	26.058	17.207	15.929	14.999	8.163	16.902	23.322	20.767	25.812	17.678	13.999	14.262	20.922	14.223	21.513	20.789	20.885	14.012	21.814	21.739	20.621	14.485	22.109	22.238
34.34033	6.261	16.336	22.521	20.54	26.555	16.766	14.196	13.757	7.34	15.894	22.899	20.053	25.92	17.413	15.374	15.093	8.515	16.826	23.298	20.773	25.845	16.812	14.687	14.836	20.588	13.979	21.35	20.569	20.89	13.825	22.046	21.463	20.74	14.128	22.115	22.131
34.50708	6.049	16.232	22.244	20.434	26.614	17.283	14.095	14.615	7.523	16.156	22.876	20.258	25.981	17.251	15.073	14.708	8.246	16.948	23.36	20.667	25.933	17.216	14.499	14.365	20.706	14.385	21.752	20.802	20.67	14.09	21.855	21.667	20.747	14.224	22.403	21.855
34.67376	6.157	16.508	22.434	20.625	26.662	17.362	14.258	14.496	7.405	16.065	22.869	20.336	26.142	17.329	15.518	14.448	8.41	16.856	23.409	20.66	25.756	17.294	14.944	14.359	20.698	14.21	21.744	20.71	21.029	14.253	21.932	21.745	20.739	14.331	21.888	22.215
34.84032	5.959	16.377	22.536	20.977	26.571	16.75	14.377	15.011	7.803	16.303	23.056	20.208	26.021	17.426	15.725	15.614	8.582	16.924	23.314	20.929	26.03	17.474	15.236	15.075	21.112	14.415	21.788	21.12	20.906	13.752	21.948	21.647	20.755	14.79	22.44	22.005
35.00719	6.411	16.48	22.519	20.709	26.578	16.713	14.174	15.117	7.8	16.347	22.756	20.336	26.057	16.793	15.772	15.943	8.805	16.8	23.098	20.745	25.897	17.378	15.283	14.81	20.613	14.181	21.378	20.625	20.86	13.745	22.271	21.519	20.457	14.331	22.227	22.017
35.17381	6.199	16.489	22.581	20.942	26.468	16.863	14.495	15.099	7.756	16.016	22.761	20.259	26.117	17.308	15.754	16.065	8.564	17.034	23.16	20.977	25.788	16.767	15.348	15.496	21.013	14.615	21.891	20.604	21.176	14.236	22.221	21.723	20.605	14.314	22.571	22.108
35.34037	6.397	16.376	22.75	20.773	26.666	17.061	15.256	15.212	8.292	16.129	22.818	20.146	26.23	17.026	16.487	15.981	8.564	17.09	22.991	20.441	25.958	17.5	16.222	15.919	21.126	13.938	21.779	20.632	21.007	14.461	22.249	21.807	20.548	14.116	21.979	21.995
35.50701	6.806	16.593	22.688	20.85	26.747	16.628	15.358	15.738	8.054	16.149	22.784	20.364	26.255	17.244	16.308	16.366	8.72	17.11	23.155	20.914	25.982	17.266	15.198	16.165	20.952	13.871	21.829	20.795	21.029	14.084	22.356	21.773	20.965	14.359	22.424	22.271
35.67384	6.524	16.603	22.903	21.09	26.712	17.399	15.507	15.915	7.831	16.105	22.999	20.406	26.276	17.003	16.092	16.659	9.119	16.924	23.455	21.127	26.058	17.22	15.038	15.272	20.914	14.556	21.76	20.697	21.216	13.921	22.372	21.817	20.868	14.535	22.525	22.4
35.84056	6.256	16.612	22.598	21.012	26.546	16.759	15.404	16.321	8.38	16.0	22.891	20.526	26.166	17.067	15.932	16.922	8.595	17.243	23.263	21.105	26.006	17.398	15.217	16.043	20.975	14.058	21.823	20.929	21.109	14.017	22.011	21.625	20.818	14.066	22.362	22.237
36.00708	6.854	16.731	22.521	20.878	26.809	17.133	15.297	16.778	8.639	16.29	22.786	20.307	26.429	17.441	16.418	17.183	8.939	16.967	23.383	21.169	26.127	17.405	16.494	16.417	20.729	14.233	21.915	20.852	21.116	13.938	22.188	21.548	20.684	14.608	22.764	22.046
36.17383	6.614	16.666	22.656	21.182	26.862	17.293	15.513	16.769	8.26	16.621	22.752	20.667	26.227	17.207	16.211	16.863	9.265	16.987	23.067	21.021	26.095	17.339	16.683	16.861	20.922	14.505	22.022	20.93	20.744	14.012	22.379	21.965	20.706	14.174	22.391	22.182
36.34044	6.624	16.763	22.643	21.14	26.85	17.164	16.062	16.555	8.355	16.324	22.994	20.596	26.385	17.589	16.28	17.583	9.361	17.085	23.337	21.149	26.196	17.183	15.876	17.27	20.966	14.263	21.952	20.859	21.352	14.024	22.423	21.669	21.031	14.468	22.943	21.999
36.50726	6.905	16.725	22.852	21.012	26.97	17.126	15.32	17.026	8.38	16.509	22.976	20.441	26.449	17.265	16.158	17.543	9.752	17.3	23.517	20.907	26.373	17.454	15.81	16.552	20.975	13.945	22.246	20.76	21.052	14.073	22.575	21.795	20.846	13.953	22.7	22.237
36.67391	7.137	16.911	22.934	21.203	26.887	17.227	16.435	16.816	8.361	16.472	23.03	20.943	26.422	17.369	16.117	17.024	9.734	17.403	23.429	21.382	26.373	17.246	16.561	17.362	20.776	14.156	22.242	20.98	21.19	14.03	22.741	22.101	21.378	14.587	22.555	22.176
36.84056	7.063	16.73	22.791	21.125	26.987	16.992	16.597	17.23	8.873	16.707	23.056	20.498	26.355	17.351	16.897	17.659	9.568	17.246	23.229	21.385	26.252	17.064	15.956	17.005	20.941	14.011	21.933	20.702	21.245	13.942	22.6	21.652	20.759	14.302	22.697	22.149
37.00726	6.866	17.096	22.96	21.379	26.931	16.936	16.005	16.807	8.704	16.651	23.141	20.921	26.496	17.351	16.531	18.025	9.483	17.444	23.229	21.357	26.392	17.177	16.209	17.372	21.082	13.645	22.271	20.674	21.386	14.308	22.544	21.877	20.956	14.246	23.007	22.488
37.17383	7.277	16.957	23.142	21.415	27.091	16.935	15.834	17.541	8.724	16.6	22.814	20.787	26.542	17.102	16.785	18.594	9.983	17.306	23.383	21.423	26.466	17.037	16.409	17.801	21.068	14.064	22.367	20.936	21.37	14.164	22.696	21.887	21.192	14.524	22.99	22.329
37.34053	7.509	16.893	22.981	20.921	27.064	17.239	15.859	17.054	9.065	16.56	23.161	20.548	26.628	16.949	16.834	18.16	9.45	17.521	23.391	21.547	26.497	17.311	16.738	18.464	20.849	14.062	22.602	20.921	21.322	14.133	22.677	21.898	20.949	14.155	23.028	22.649
37.50726	7.539	17.129	22.829	21.245	27.142	16.967	16.12	17.177	8.787	16.601	22.953	20.872	26.593	16.793	17.437	18.708	9.933	17.675	23.578	21.253	26.433	17.209	16.073	17.942	21.206	14.04	22.337	20.879	21.34	13.971	23.004	21.829	21.163	14.359	22.876	22.44
37.67396	7.362	17.239	23.114	21.358	27.26	17.274	16.653	17.484	9.035	16.685	23.153	20.815	26.711	17.102	16.757	19.187	10.04	17.419	23.524	21.508	26.551	16.981	16.691	17.885	21.266	14.318	22.593	21.021	21.37	14.249	22.752	21.802	21.249	13.987	23.075	22.555
37.84062	7.639	17.148	22.88	21.577	27.252	17.296	16.308	17.619	9.283	16.847	23.287	20.724	26.703	17.406	17.033	18.672	10.147	17.441	23.347	21.444	26.542	17.285	17.193	18.189	21.173	14.453	22.529	21.07	21.476	14.61	22.999	22.19	21.185	14.349	23.152	22.547
38.00737	7.412	17.25	23.201	21.45	27.342	17.061	16.158	18.144	8.996	16.665	23.353	20.851	26.991	17.111	16.402	18.603	10.537	17.739	23.555	21.4	26.606	17.021	16.645	18.062	21.267	14.361	22.653	21.055	21.317	13.897	23.066	21.892	21.056	14.314	23.191	22.531
38.17389	7.644	17.07	23.227	21.443	27.317	17.217	16.822	17.484	9.797	16.883	23.294	21.098	26.993	17.102	17.322	19.046	10.294	17.447	23.722	21.366	26.748	17.602	17.538	19.269	21.435	13.979	22.762	21.021	21.54	14.107	23.261	22.113	21.164	14.241	23.583	22.724
38.34061	7.616	17.211	23.255	21.697	27.402	17.302	16.624	18.642	9.458	16.967	23.407	20.844	26.993	17.356	17.322	18.651	9.786	17.617	23.807	21.366	26.635	17.15	16.776	18.14	21.407	13.979	22.677	20.993	21.568	13.91	23.374	22.141	21.164	14.354	23.414	22.555
38.50732	7.814	17.155	23.142	21.584	27.43	17.274	16.907	18.19	9.176	17.052	23.153	20.928	26.909	17.017	16.955	18.764	10.153	17.617	23.524	21.451	26.748	17.292	17.454	19.58	21.661	14.233	22.706	20.823	21.455	13.938	23.261	22.141	21.503	14.524	23.527	22.414
38.67389	8.268	17.448	23.358	21.571	27.65	17.312	16.181	17.975	9.746	17.15	23.454	20.886	26.93	17.369	17.248	19.314	9.875	17.657	23.825	21.41	26.882	17.331	16.788	18.634	21.482	14.241	22.638	21.206	21.36	14.199	23.391	21.931	21.435	14.502	23.403	22.628
38.8406	7.614	17.623	23.181	21.57	27.746	16.729	16.531	18.32	9.735	16.982	23.446	21.224	26.859	17.399	16.493	20.133	10.345	17.887	23.76	21.548	26.953	17.535	16.144	19.197	21.529	14.283	22.829	21.062	21.324	14.157	23.384	22.153	21.543	14.178	23.312	22.623
39.00732	8.25	17.502	23.288	21.732	27.574	16.747	16.352	18.876	9.667	17.2	23.356	20.964	27.194	17.307	16.004	19.957	10.221	17.907	23.84	21.655	26.724	17.526	16.841	18.993	21.411	14.216	22.683	21.31	21.601	14.09	23.435	22.344	21.537	14.422	23.56	22.617
39.17405	7.609	17.476	23.427	21.816	27.737	16.807	16.694	19.385	9.899	17.003	23.607	20.879	27.161	17.364	17.276	19.561	10.086	17.88	23.837	21.625	26.916	17.979	16.814	18.852	21.549	14.277	22.963	20.971	21.486	14.066	23.63	22.315	21.507	14.511	23.558	22.925
39.34074	7.878	17.467	23.309	21.753	27.678	17.531	16.431	18.531	9.436	17.109	23.574	21.295	27.214	17.244	16.478	19.244	10.3	17.675	24.001	21.732	27.054	17.576	16.665	19.466	21.573	14.21	23.183	21.303	21.453	14.31	23.428	22.168	21.727	14.218	23.383	22.722
39.50734	7.993	17.422	23.666	21.966	27.899	16.778	16.157	18.627	10.204	17.151	23.479	21.366	27.18	17.37	16.6	20.077	10.644	17.941	23.992	21.861	27.16	17.418	17.044	19.368	21.366	14.386	23.342	21.12	21.668	14.26	23.558	22.212	21.518	14.62	23.457	22.909
39.67394	8.322	17.522	23.735	21.867	27.966	17.133	16.681	18.868	9.628	17.391	23.661	21.324	27.389	17.356	16.955	20.599	10.746	18.012	23.807	21.959	27.087	17.546	17.397	18.817	21.746	14.403	23.073	21.078	21.653	13.769	23.684	22.197	21.644	14.298	23.696	22.95
39.8408	7.809	17.6	23.558	21.775	27.958	17.296	17.098	19.087	9.678	17.017	23.597	21.345	27.296	17.547	17.061	19.745	10.486	18.09	24.222	22.008	27.079	17.539	16.967	19.77	21.568	14.312	23.319	21.07	21.645	13.932	23.451	22.134	21.58	14.433	23.745	22.942
40.00755	7.714	17.587	23.655	22.042	28.195	17.368	16.183	18.283	10.006	17.172	23.638	21.387	27.392	17.589	16.569	19.618	10.362	18.246	24.178	21.824	27.203	17.47	16.305	19.699	21.665	14.187	23.275	21.253	21.884	14.259	23.576	22.26	21.904	14.422	23.645	23.012
40.17418	8.386	17.665	23.788	21.922	28.101	17.362	16.543	18.249	9.916	17.25	23.8	21.295	27.468	17.216	15.913	20.401	10.103	18.154	24.114	21.986	27.138	17.886	17.088	19.776	21.714	14.21	23.296	20.992	21.876	14.14	23.907	22.281	21.811	14.444	23.807	22.722
40.34077	8.386	17.806	23.788	22.176	28.186	17.418	17.333	18.615	9.831	17.25	23.715	21.069	27.44	17.526	16.562	19.695	10.441	18.098	24.114	22.155	27.138	17.971	17.257	19.945	21.883	14.181	23.465	21.161	21.96	14.056	23.569	22.337	22.122	13.795	23.976	22.92
40.5075	7.906	17.665	23.732	22.007	28.271	17.587	17.277	19.067	10.282	17.334	23.743	21.295	27.581	17.498	16.76	19.808	10.61	18.098	24.029	21.647	27.308	17.802	17.173	18.986	21.657	14.379	23.465	21.161	21.96	13.999	23.907	22.365	21.952	14.359	24.089	23.004
40.67413	8.191	17.716	23.665	21.999	28.312	16.992	17.386	18.751	10.197	17.44	23.93	21.457	27.454	17.717	16.812	19.745	10.244	18.205	24.244	22.259	27.238	17.881	17.506	19.542	21.871	14.49	23.427	21.21	21.978	14.28	23.981	22.413	22.027	14.189	23.796	22.91
40.84072	8.391	17.897	23.881	22.042	28.477	17.424	16.916	18.876	9.695	17.539	24.09	21.584	27.589	17.872	16.851	19.449	10.644	18.161	24.348	21.937	27.457	17.554	16.333	19.416	21.891	14.187	23.642	21.338	22.109	14.146	24.0	22.373	21.96	14.139	24.238	23.125
41.00742	8.217	17.806	23.873	22.12	28.355	17.615	16.515	19.236	10.226	17.701	24.138	21.634	27.806	17.752	16.139	20.683	10.554	18.323	24.481	22.296	27.505	17.802	17.37	19.071	21.827	14.294	23.635	21.133	22.017	13.887	23.851	22.506	21.868	14.416	24.314	23.004
41.17422	8.483	17.73	23.991	21.985	28.414	17.596	17.033	19.047	10.293	17.398	24.03	21.527	27.696	18.069	15.867	19.872	10.453	18.303	24.401	22.33	27.537	18.12	16.899	20.064	21.803	14.192	23.358	21.055	21.937	13.785	24.166	22.315	21.845	14.257	23.953	23.066
41.34086	8.265	17.861	24.271	22.121	28.503	17.302	17.02	19.602	10.249	17.56	24.198	21.352	27.925	17.639	16.983	19.724	10.379	18.21	24.513	22.213	27.623	17.687	16.663	20.624	21.943	14.233	23.581	21.36	22.302	14.192	24.108	22.649	22.096	14.241	24.204	23.232
41.50742	8.661	18.002	24.102	22.29	28.644	17.274	16.737	19.433	10.023	17.504	24.283	21.521	27.84	18.147	17.378	20.345	10.718	18.379	24.569	22.298	27.539	18.167	16.974	19.805	22.197	14.29	23.75	21.36	21.992	14.079	23.938	22.48	22.152	14.439	24.346	23.148
41.67428	8.753	17.806	24.268	22.458	28.722	17.615	16.967	19.208	10.226	17.447	24.166	21.577	27.835	17.921	16.224	19.949	10.357	18.239	24.707	22.522	27.59	18.14	17.54	20.03	22.222	14.689	23.776	21.415	21.763	13.971	24.33	22.591	22.235	14.19	24.314	23.287
41.84085	8.77	17.99	24.055	22.162	28.592	17.434	16.729	19.11	10.44	17.715	24.292	21.817	27.959	17.766	16.239	20.725	10.684	18.338	24.521	22.338	27.714	17.817	17.018	20.664	22.064	14.621	24.127	21.232	22.058	14.072	24.399	22.576	22.191	14.207	24.468	23.356
42.00755	8.222	17.728	24.361	22.466	28.646	17.622	17.17	19.299	10.316	17.624	24.344	21.838	27.984	17.674	16.343	20.408	10.39	18.5	24.658	22.389	27.852	18.006	17.377	19.953	22.06	14.554	24.037	21.31	22.194	14.175	24.423	22.429	22.327	14.111	24.548	23.435
42.17418	8.165	17.756	24.332	22.268	28.618	17.594	16.437	19.243	10.373	17.708	24.513	21.669	28.069	18.013	16.851	20.436	10.87	18.669	24.489	22.36	27.824	18.09	17.18	19.868	22.399	14.272	24.15	21.507	22.363	13.892	24.367	22.627	22.299	14.111	24.548	23.464
42.34094	8.576	17.776	24.356	22.318	28.813	17.359	16.54	18.868	10.136	17.814	24.509	21.747	28.038	17.864	15.741	20.882	10.718	18.351	24.738	22.383	27.849	18.026	16.522	19.975	22.197	14.064	24.004	21.445	22.528	13.825	24.475	22.48	22.406	14.383	24.656	23.571
42.50748	8.98	17.886	24.285	22.506	28.791	17.584	17.189	18.836	10.141	17.694	24.578	21.682	28.13	17.914	16.7	20.956	10.413	18.543	24.667	22.315	27.886	18.304	17.139	19.993	22.125	14.152	24.441	21.435	22.457	14.055	24.573	22.582	22.422	14.33	24.529	23.559
42.67422	8.555	17.975	24.522	22.374	28.778	17.531	16.205	19.152	10.198	17.616	24.42	21.634	28.145	18.006	15.998	20.119	10.723	18.408	24.876	22.296	27.9	17.886	17.032	19.578	22.391	14.181	24.058	21.387	22.609	14.14	24.754	22.676	22.404	14.359	24.879	23.597
42.84083	8.774	17.945	24.554	22.657	28.955	17.81	16.032	19.489	10.644	17.814	24.593	21.832	28.264	17.695	16.334	20.882	10.915	18.549	24.851	22.665	28.103	17.941	16.804	20.144	22.338	14.149	24.4	21.529	22.387	14.107	24.701	22.96	22.66	14.467	24.684	23.741
43.00756	9.038	17.93	24.457	22.502	29.029	17.908	15.931	18.881	9.724	17.603	24.609	21.903	28.14	17.878	16.261	20.19	10.644	18.619	24.867	22.398	28.036	18.435	16.705	20.159	22.355	14.302	24.274	21.629	22.798	14.204	24.716	22.918	22.337	14.705	24.87	23.558
43.17424	8.982	17.846	24.57	22.587	28.887	17.541	17.258	18.825	10.232	17.687	24.722	21.875	28.394	18.048	16.177	19.908	10.842	18.449	24.952	22.483	28.12	18.35	16.337	19.82	22.439	13.906	24.19	21.431	22.798	14.034	24.914	22.721	22.591	14.564	24.954	23.587
43.34102	8.818	17.88	24.549	22.792	29.037	17.745	16.954	18.888	10.577	17.751	24.617	22.136	28.375	18.309	16.126	20.169	10.847	18.569	25.101	22.688	28.072	18.272	16.626	19.969	22.476	13.969	24.282	21.523	22.75	14.266	24.894	22.728	22.345	14.372	24.878	23.736
43.50761	8.922	17.89	24.494	22.741	29.004	17.954	16.826	18.362	10.649	17.701	24.674	21.916	28.512	18.119	16.252	20.203	10.977	18.606	25.158	22.776	28.098	18.084	16.778	20.086	22.729	14.125	24.453	21.585	22.609	14.056	25.036	23.014	22.517	14.416	24.963	23.879
43.6742	8.802	18.086	24.808	22.827	29.096	17.98	16.314	19.32	10.305	17.758	25.045	22.199	28.546	18.147	16.249	19.922	10.633	18.549	25.19	23.004	28.188	18.336	16.861	19.41	22.536	14.459	24.484	21.529	22.867	14.277	24.785	23.186	22.406	14.524	25.023	23.825
43.84093	8.742	18.075	24.76	22.81	29.297	17.716	16.08	18.32	10.779	17.884	24.856	22.099	28.607	18.189	16.155	20.471	10.627	18.592	25.114	22.761	28.335	18.296	16.708	20.889	22.487	13.831	24.38	21.401	22.734	14.129	25.161	22.971	22.586	14.404	24.976	23.751
44.00766	8.686	18.159	24.675	22.867	29.24	17.659	15.572	19.448	10.355	17.715	24.912	21.929	28.664	18.302	16.832	20.386	10.881	18.592	25.142	22.845	28.165	18.127	16.624	18.887	22.657	14.198	24.606	21.655	22.734	14.044	25.076	23.168	22.699	14.404	25.201	23.92
44.17439	8.504	18.066	24.981	22.804	29.493	17.989	16.55	18.848	10.401	17.962	24.767	22.177	28.605	18.549	16.766	19.9	11.068	18.669	25.392	22.868	28.36	18.316	16.672	20.037	22.822	14.47	24.489	21.648	22.787	14.062	24.762	23.022	23.032	14.506	25.338	24.028
44.34093	8.46	17.962	24.929	22.782	29.494	18.054	16.503	18.941	10.638	17.715	25.081	22.183	28.692	18.274	15.873	19.935	10.515	18.507	25.311	22.93	28.25	18.324	16.285	19.677	22.628	14.339	24.38	21.796	22.819	13.96	25.076	23.168	22.868	14.348	25.314	24.033
44.50772	8.827	17.877	24.929	22.698	29.579	17.969	16.108	18.659	10.638	17.969	24.827	22.099	28.664	18.189	15.422	20.809	10.204	18.648	25.367	23.099	28.56	18.719	16.567	20.184	22.91	14.536	24.691	21.655	23.073	14.157	25.274	23.168	22.783	14.996	25.314	24.174
44.67437	9.093	18.167	25.018	23.155	29.496	18.119	16.851	19.033	10.789	18.032	25.001	22.133	28.807	18.168	16.841	20.026	11.005	18.458	25.625	22.823	28.393	18.614	17.139	19.373	23.027	14.237	24.751	21.689	22.964	14.196	25.137	23.286	22.929	14.415	25.375	24.235
44.84108	8.895	17.942	25.018	22.704	29.552	18.204	16.766	18.667	10.056	17.947	25.085	22.077	28.891	18.253	16.474	20.562	10.695	18.627	25.625	22.851	28.619	18.22	16.35	19.626	22.801	14.011	24.695	21.773	23.162	14.055	25.334	23.202	22.845	14.302	25.262	24.46
45.00772	9.278	17.99	25.098	22.951	29.833	18.195	16.503	19.505	10.384	18.054	25.25	22.522	28.861	18.246	15.675	19.963	11.05	18.563	25.452	22.845	28.476	18.381	16.398	19.818	22.741	14.621	24.55	21.796	23.101	14.157	25.358	23.337	22.953	14.404	25.455	24.258
