	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	cspC-1	proV-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	cspC-2	proV-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	cspC-3	proV-3	yeaR-1	pstS-1	proV_cspC-1	proV_yobF-1	proV_nagC-1	proV_wbbK-1	proV_ptsP-1	proV_ptsP_wbbK-1	yeaR-2	pstS-2	proV_cspC-2	proV_yobF-2	proV_nagC-2	proV_wbbK-2	proV_ptsP-2	proV_ptsP_wbbK-2	yeaR-3	pstS-3	proV_cspC-3	proV_yobF-3	proV_nagC-3	proV_wbbK-3	proV_ptsP-3	proV_ptsP_wbbK-3
22.33944	1.41	32.339	25.401	25.557	26.747	0.622	1.35	0.627	1.432	25.2	26.683	26.383	24.87	40.83	1.528	0.898	1.514	25.026	26.777	23.655	25.502	43.831	1.48	1.161	1.77	1.237	1.101	1.567	0.539	2.118	0.621	0.824	1.063	1.263	1.122	1.255	0.891	1.786	0.704	0.787	0.885	1.439	0.511	0.621	0.304	1.016	0.57	0.61
22.50604	1.471	34.619	25.874	26.083	27.112	0.708	1.382	0.713	1.438	28.044	26.296	26.803	24.778	41.229	1.48	0.984	1.548	27.009	26.12	24.181	25.652	44.5	1.567	1.006	1.912	1.3	1.241	1.655	0.707	2.34	0.654	0.723	1.26	1.351	1.155	1.476	1.058	1.737	0.629	0.847	0.918	1.526	0.571	0.573	0.31	1.021	0.469	0.75
22.67268	1.417	33.623	25.632	26.433	27.516	0.681	1.301	0.713	1.385	29.094	26.134	26.884	24.778	41.714	1.615	0.903	1.548	28.974	26.794	25.177	25.814	44.608	1.486	1.006	1.858	1.246	1.161	1.682	0.626	2.259	0.708	0.75	1.098	1.189	1.155	1.341	0.924	1.737	0.548	0.847	0.918	1.499	0.598	0.627	0.31	1.075	0.469	0.75
22.83945	1.471	34.175	26.864	26.936	27.887	0.883	1.398	0.619	1.518	30.801	26.428	27.34	25.198	42.08	1.609	1.027	1.736	30.506	26.653	25.787	26.049	44.979	1.591	1.03	1.89	1.317	1.317	1.87	0.512	2.256	0.514	0.804	1.161	1.383	1.256	1.361	1.105	1.864	0.648	0.734	0.965	1.473	0.564	0.675	0.357	1.068	0.542	0.499
23.00622	1.582	34.677	26.322	26.962	27.561	0.892	1.406	0.601	1.549	33.569	26.694	27.686	25.602	42.623	1.804	0.981	1.712	31.38	26.623	26.056	26.02	45.384	1.514	1.007	1.945	1.421	1.377	1.846	0.626	2.395	0.601	0.834	1.268	1.384	1.155	1.341	1.085	1.898	0.655	0.875	0.917	1.449	0.597	0.681	0.39	0.967	0.414	0.695
23.17276	1.562	33.582	26.455	27.068	27.776	0.81	1.351	0.87	1.528	33.666	27.21	27.771	25.438	42.762	1.754	0.954	1.746	34.319	26.542	26.378	26.072	45.662	1.681	0.958	1.982	1.466	1.3	1.907	0.575	2.589	0.686	0.895	1.227	1.421	1.292	1.397	1.06	1.954	0.657	0.743	0.974	1.429	0.627	0.63	0.42	1.077	0.443	0.75
23.33946	1.62	33.375	25.733	27.671	28.351	0.839	1.543	0.873	1.612	34.271	26.542	27.806	25.77	43.341	1.676	1.037	1.695	34.357	26.766	26.549	26.351	45.998	1.522	1.069	2.094	1.47	1.546	2.046	0.768	2.511	0.553	0.709	1.231	1.343	1.295	1.454	1.063	2.038	0.66	0.828	0.815	1.487	0.657	0.633	0.288	1.134	0.554	0.645
23.50619	1.63	32.969	26.839	27.533	28.457	0.766	1.551	0.773	1.757	34.435	26.486	28.643	25.794	43.808	1.874	1.1	1.949	34.713	26.385	27.087	26.835	46.384	1.613	1.079	2.024	1.43	1.312	1.975	0.696	2.602	0.644	0.747	1.243	1.517	1.196	1.544	1.072	2.019	0.668	0.837	0.878	1.578	0.585	0.642	0.378	1.143	0.536	0.735
23.67283	1.528	32.861	26.683	28.295	28.408	0.724	1.481	0.784	1.602	34.889	26.707	28.321	25.854	44.064	1.829	1.083	1.766	34.541	26.31	27.632	26.894	46.611	1.621	0.979	2.055	1.376	1.32	1.954	0.677	2.475	0.679	0.78	1.219	1.413	1.259	1.553	1.108	2.002	0.678	0.764	0.941	1.585	0.54	0.597	0.279	1.125	0.545	0.502
23.83962	1.717	33.416	26.232	28.003	28.763	0.684	1.439	0.823	1.792	33.896	26.547	28.616	26.132	44.364	1.86	0.959	1.955	34.37	26.694	27.663	27.007	47.07	1.974	1.144	2.023	1.466	1.352	2.062	0.629	2.855	0.577	0.996	1.264	1.489	1.239	1.398	1.223	2.198	0.632	0.931	0.921	1.422	0.654	0.657	0.393	1.159	0.471	0.942
24.00626	1.663	32.339	26.043	28.488	28.709	0.576	1.546	0.769	1.792	34.65	26.977	28.804	25.998	44.633	1.806	0.986	1.874	35.043	26.613	28.04	27.007	47.312	1.705	1.009	2.077	1.574	1.352	2.089	0.764	2.747	0.469	0.834	1.264	1.489	1.212	1.506	1.169	2.063	0.632	0.769	0.813	1.503	0.654	0.657	0.366	1.078	0.552	0.673
24.17287	1.541	32.34	26.917	28.981	28.584	0.815	1.514	0.872	1.806	33.162	26.877	29.507	26.145	44.843	1.85	1.008	1.968	33.195	26.625	27.618	26.829	47.385	1.881	1.294	2.194	1.52	1.53	2.102	0.727	2.816	0.594	0.794	1.189	1.445	1.257	1.444	1.188	2.19	0.678	0.679	1.046	1.489	0.619	0.621	0.411	1.151	0.544	0.666
24.33955	1.67	31.549	26.275	28.504	29.049	0.85	1.74	0.909	1.879	33.027	27.318	29.225	26.552	45.303	1.812	1.072	1.962	33.987	26.872	27.733	27.616	47.929	1.711	1.15	2.246	1.637	1.358	2.15	0.77	2.915	0.583	0.76	1.245	1.577	1.379	1.566	1.256	2.15	0.691	0.695	0.846	1.536	0.903	0.636	0.399	1.165	0.558	0.705
24.50625	1.599	31.7	25.606	28.892	28.87	0.635	1.662	0.965	1.754	33.024	26.385	29.295	26.56	45.568	2.089	1.102	1.999	33.051	26.745	28.499	27.518	48.25	2.016	1.05	2.206	1.632	1.527	2.268	0.83	2.951	0.751	0.959	1.288	1.645	1.277	1.625	1.288	2.263	0.75	0.917	1.013	1.547	0.639	0.615	0.405	1.143	0.59	0.736
24.67294	1.678	31.616	26.318	29.016	29.752	0.917	1.784	0.924	1.859	32.003	26.049	29.941	26.626	45.99	2.109	1.062	2.186	33.938	27.272	28.842	27.669	48.486	1.984	1.098	2.263	1.538	1.412	2.32	0.768	3.082	0.716	0.767	1.375	1.593	1.295	1.67	1.252	2.47	0.767	1.018	0.842	1.518	0.603	0.634	0.234	1.269	0.499	0.671
24.83961	1.707	31.97	26.605	29.729	29.653	0.743	1.689	0.938	1.889	33.456	27.087	29.565	26.911	46.189	2.224	1.183	2.053	33.294	26.475	29.012	27.923	48.844	1.935	1.131	2.314	1.605	1.473	2.457	0.803	2.978	0.697	0.716	1.207	1.537	1.25	1.598	1.261	2.398	0.669	0.728	0.77	1.493	0.612	0.696	0.486	1.143	0.455	0.628
25.0063	1.828	31.098	25.817	29.965	29.511	0.895	1.732	0.793	1.876	32.284	26.621	30.258	27.229	46.492	2.212	1.064	2.174	33.009	26.362	29.194	27.97	49.2	2.003	1.038	2.299	1.695	1.542	2.416	0.791	3.289	0.604	0.784	1.353	1.549	1.346	1.613	1.33	2.413	0.793	0.824	0.866	1.56	0.708	0.657	0.42	1.266	0.498	0.887
25.17302	1.732	32.103	26.264	30.424	29.86	0.754	1.703	0.789	2.048	32.436	27.674	30.049	27.385	46.748	2.191	1.116	2.051	32.964	27.083	29.383	27.994	49.325	2.065	1.016	2.344	1.619	1.493	2.428	0.768	3.353	0.662	0.74	1.267	1.539	1.295	1.751	1.333	2.632	0.713	0.937	0.977	1.518	0.684	0.661	0.532	1.35	0.553	0.752
25.33953	1.758	31.475	26.57	30.233	29.995	0.903	1.767	0.936	1.967	31.394	26.916	30.474	27.334	47.122	2.221	1.153	2.185	32.689	26.656	29.813	28.238	49.777	2.04	0.966	2.392	1.709	1.551	2.589	0.908	3.326	0.532	0.632	1.311	1.696	1.436	1.676	1.366	2.503	0.72	0.806	0.875	1.49	0.717	0.666	0.348	1.275	0.614	0.706
25.50626	1.751	31.16	26.041	30.783	29.708	0.655	1.816	0.768	1.96	32.293	26.792	30.887	27.237	47.421	2.269	1.067	2.313	32.21	26.963	29.445	28.167	50.049	2.195	1.257	2.438	1.754	1.626	2.609	0.956	3.454	0.607	0.76	1.357	1.769	1.43	1.697	1.279	2.713	0.58	0.881	0.869	1.483	0.603	0.687	0.396	1.188	0.581	0.782
25.673	1.697	31.835	25.825	31.053	30.194	0.736	2.005	0.876	1.987	32.59	26.549	30.294	27.723	47.421	2.35	1.175	2.178	32.534	26.397	29.769	28.329	50.049	2.114	1.203	2.276	1.619	1.518	2.582	0.821	3.481	0.58	0.841	1.303	1.526	1.349	1.859	1.333	2.578	0.661	0.908	1.004	1.645	0.63	0.687	0.477	1.296	0.5	0.728
25.83969	1.839	31.448	26.435	31.124	30.751	0.822	2.118	0.963	1.994	31.367	26.997	31.499	27.739	47.932	2.572	1.18	2.131	32.392	27.114	30.569	29.021	50.532	2.094	1.263	2.634	1.709	1.686	2.832	0.962	3.461	0.586	0.875	1.392	1.615	1.49	1.838	1.339	2.638	0.72	0.752	0.875	1.571	0.636	0.612	0.321	1.275	0.506	0.571
26.0064	1.944	31.023	26.788	32.023	30.649	0.731	2.03	0.792	2.153	31.594	26.786	31.05	27.96	48.288	2.351	1.2	2.425	31.87	27.036	30.549	29.0	50.864	2.36	1.204	2.661	1.714	1.708	2.776	0.984	3.485	0.689	0.655	1.501	1.884	1.43	1.967	1.468	2.767	0.741	0.774	1.031	1.595	0.711	0.796	0.423	1.323	0.527	0.753
26.17301	1.876	30.718	26.188	32.123	30.318	0.91	2.019	0.862	2.139	31.179	26.995	31.311	28.358	48.428	2.582	1.27	2.411	31.748	26.653	31.244	28.966	51.218	2.266	1.3	2.646	1.884	1.642	2.788	0.998	3.714	0.676	0.777	1.377	1.869	1.445	1.928	1.51	2.755	0.729	0.923	0.965	1.554	0.645	0.621	0.411	1.284	0.596	0.715
26.33971	1.901	30.968	26.595	32.347	30.729	1.009	1.93	0.908	2.163	31.487	26.892	31.565	28.147	48.596	2.55	1.181	2.382	32.55	27.521	31.279	29.161	51.415	2.235	1.133	2.673	1.808	1.88	2.867	1.101	3.819	0.698	0.828	1.487	1.733	1.439	2.031	1.531	2.858	0.776	0.837	0.878	1.686	0.666	0.697	0.378	1.251	0.536	0.599
26.50637	1.826	31.283	26.665	32.068	30.422	0.825	2.098	0.886	2.17	31.154	26.774	31.772	28.082	49.027	2.773	1.267	2.551	31.84	26.969	31.486	29.503	51.684	2.62	1.22	2.735	1.817	1.886	3.037	0.918	3.908	0.569	0.807	1.495	1.741	1.608	2.064	1.537	3.026	0.863	0.951	0.884	1.748	0.645	0.649	0.384	1.311	0.541	0.659
26.67302	1.936	31.745	26.546	32.743	30.725	0.706	2.191	0.874	2.119	30.584	27.053	31.769	28.443	49.163	2.589	1.145	2.552	32.524	27.495	31.433	29.535	51.925	2.354	1.011	2.704	1.749	1.758	2.983	0.953	3.936	0.604	0.865	1.434	1.765	1.4	1.856	1.438	2.953	0.739	0.905	0.785	1.695	0.627	0.603	0.393	1.374	0.498	0.644
26.83984	1.905	31.827	26.798	33.12	30.46	0.791	2.247	0.985	2.277	31.446	27.193	32.224	28.745	49.481	2.803	1.283	2.44	31.3	27.125	31.837	29.7	52.214	2.567	1.063	2.966	1.816	1.837	3.139	0.871	3.932	0.657	0.834	1.479	1.812	1.697	2.044	1.546	2.952	0.713	0.716	0.894	1.61	0.681	0.657	0.447	1.428	0.498	0.673
27.00638	1.987	31.17	27.05	33.355	30.474	0.65	2.08	0.871	2.277	31.115	26.883	32.245	29.109	49.851	2.802	1.224	2.495	31.947	27.19	31.828	29.715	52.532	2.593	1.115	2.835	1.853	1.862	3.141	1.031	4.014	0.601	0.78	1.457	1.869	1.505	2.015	1.57	2.977	0.709	0.875	0.836	1.611	0.597	0.573	0.525	1.371	0.495	0.533
27.17305	2.003	31.386	26.837	33.112	30.529	0.804	2.261	0.836	2.267	31.411	26.939	33.241	29.326	50.11	2.954	1.377	2.7	31.728	27.138	32.314	30.309	52.871	2.556	1.268	2.904	1.92	1.907	3.454	1.102	4.084	0.727	0.851	1.499	1.831	1.577	2.087	1.669	3.129	0.862	0.946	0.989	1.709	0.75	0.807	0.462	1.443	0.567	0.633
27.33974	2.013	31.881	26.636	34.036	30.621	0.791	2.489	0.985	2.277	31.526	27.112	32.925	29.068	50.424	2.937	1.444	2.709	31.704	26.721	33.076	29.942	53.129	2.62	1.386	2.966	1.897	1.972	3.516	1.168	4.255	0.631	0.834	1.506	2.055	1.643	2.152	1.627	3.275	0.847	0.877	0.894	1.664	0.735	0.738	0.447	1.321	0.552	0.753
27.5064	2.017	31.098	26.654	33.364	30.536	0.652	2.353	1.009	2.361	31.097	26.864	32.956	29.279	50.754	3.102	1.523	2.579	31.795	27.117	32.917	30.614	53.543	2.759	1.199	2.947	2.073	2.027	3.63	1.115	4.422	0.739	0.703	1.677	1.873	1.589	2.234	1.762	3.358	0.954	0.986	0.785	1.722	0.6	0.684	0.42	1.428	0.605	0.725
27.67314	2.08	31.607	26.635	33.881	30.61	0.833	2.485	1.057	2.343	30.775	27.448	32.937	29.597	51.176	3.298	1.465	2.859	30.923	26.668	32.976	30.558	53.943	2.874	1.23	3.098	2.102	2.14	3.725	1.09	4.405	0.632	0.926	1.615	1.86	1.644	2.317	1.655	3.333	0.926	0.933	0.893	1.677	0.6	0.874	0.447	1.401	0.631	0.695
27.83971	2.088	30.64	26.953	34.199	30.538	0.941	2.425	1.028	2.459	31.15	27.109	32.927	29.281	51.471	3.335	1.326	2.784	31.172	27.066	33.212	30.696	54.259	2.748	1.244	3.178	2.14	2.153	3.943	1.105	4.654	0.649	0.828	1.638	1.997	1.715	2.305	1.726	3.429	0.892	0.95	0.858	1.712	0.753	0.81	0.6	1.419	0.651	0.77
28.00641	2.2	31.15	26.756	34.608	30.237	1.045	2.613	1.457	2.382	31.098	26.941	33.418	29.493	51.615	3.419	1.513	2.816	32.018	27.085	33.458	30.262	54.46	2.941	1.273	3.105	2.128	2.209	3.896	1.133	4.551	0.703	0.723	1.62	1.95	1.526	2.333	1.699	3.458	0.81	0.761	0.938	1.662	0.699	0.756	0.492	1.446	0.542	0.58
28.17317	2.055	31.232	27.164	34.93	30.805	0.741	2.874	0.882	2.561	31.691	27.915	33.713	29.494	51.873	3.598	1.504	2.914	31.907	26.899	33.781	30.668	54.825	2.985	1.425	3.255	2.114	2.415	4.127	1.232	4.676	0.748	0.848	1.689	2.019	1.733	2.486	1.744	3.61	0.99	0.887	0.929	1.706	0.771	0.747	0.483	1.437	0.614	0.868
28.33982	2.125	30.693	26.789	34.713	30.536	0.949	2.704	1.089	2.523	31.124	27.35	33.765	29.819	52.103	3.668	1.577	2.903	31.687	27.333	33.726	30.641	54.973	2.974	1.28	3.351	2.235	2.162	4.062	1.142	4.908	0.739	0.946	1.596	2.089	1.751	2.423	1.843	3.708	0.82	0.905	1.001	1.776	0.627	0.684	0.528	1.374	0.605	0.779
28.50644	2.182	31.995	26.538	35.081	30.43	0.855	2.696	1.16	2.444	30.73	26.782	33.757	29.525	52.504	3.724	1.514	2.879	31.308	26.652	34.067	30.756	55.432	3.03	1.494	3.334	2.417	2.404	4.177	1.192	4.912	0.734	0.838	1.878	2.069	1.8	2.554	1.784	3.679	0.948	0.873	0.914	1.94	0.648	0.814	0.577	1.476	0.571	0.689
28.67313	2.182	32.049	26.511	35.216	30.43	0.828	2.886	1.051	2.633	31.055	27.025	34.542	29.579	52.909	3.859	1.649	2.96	31.958	27.058	34.229	30.837	55.838	3.138	1.386	3.469	2.309	2.404	4.285	1.246	5.048	0.815	0.892	1.742	2.177	1.8	2.527	1.946	3.922	0.948	1.008	0.995	1.697	0.81	0.733	0.468	1.503	0.625	0.689
28.83982	2.26	31.368	25.898	35.522	30.375	0.733	2.946	1.17	2.55	30.989	26.648	34.197	29.9	53.129	3.911	1.658	2.903	31.444	27.09	34.616	30.803	56.026	3.271	1.523	3.432	2.181	2.351	4.467	1.277	5.15	0.685	0.784	1.677	2.116	1.805	2.639	1.816	3.87	0.9	0.905	0.92	1.722	0.708	0.657	0.312	1.536	0.605	0.779
29.00647	2.242	31.185	26.625	35.781	30.298	0.839	3.03	1.062	2.612	30.297	27.462	34.619	30.068	53.505	3.865	1.605	3.236	32.464	27.199	34.739	30.73	56.513	3.387	1.367	3.607	2.389	2.546	4.587	1.308	5.35	0.797	0.953	1.799	2.208	2.241	2.616	1.874	4.119	0.93	1.017	0.815	1.838	0.819	0.931	0.639	1.566	0.689	0.753
29.17324	2.095	31.359	26.727	35.917	30.555	0.892	3.105	1.168	2.574	31.115	27.287	33.998	29.702	53.817	4.016	1.736	2.98	32.244	27.352	34.688	30.929	56.713	3.403	1.493	3.509	2.392	2.645	4.571	1.273	5.335	0.844	0.861	1.754	2.085	1.883	2.716	1.921	4.083	0.951	0.983	0.782	1.773	0.678	0.735	0.552	1.614	0.683	0.776
29.33987	2.084	31.914	27.239	36.247	30.564	0.917	3.301	1.222	2.725	31.516	28.107	34.788	30.282	54.114	4.222	1.874	3.215	32.043	26.92	35.124	31.027	57.125	3.419	1.504	3.671	2.404	2.793	4.703	1.364	5.465	0.906	0.848	1.809	2.27	1.972	2.699	1.983	4.176	0.956	0.964	0.842	1.87	0.684	0.796	0.586	1.567	0.716	0.752
29.50647	2.172	31.796	27.391	36.483	30.744	0.786	3.334	1.173	2.705	32.022	28.043	34.889	30.381	54.547	4.391	1.744	3.277	31.657	27.668	35.089	30.991	57.477	3.399	1.673	3.733	2.441	2.827	4.819	1.343	5.581	0.804	0.855	1.844	2.197	2.141	2.814	1.989	4.318	1.044	1.024	0.902	1.796	0.744	0.829	0.538	1.573	0.667	0.839
29.67331	2.332	31.846	27.005	36.1	30.801	0.789	3.482	1.305	2.704	31.49	27.642	34.908	30.298	54.638	4.28	1.791	3.325	32.744	26.874	35.167	31.28	57.64	3.775	1.625	3.689	2.458	2.722	4.994	1.434	5.786	0.735	0.912	1.879	2.293	2.205	2.715	2.055	4.295	0.952	0.928	0.918	1.822	0.813	0.788	0.606	1.641	0.711	0.697
29.84006	2.322	31.254	26.819	36.367	30.695	0.835	3.419	1.162	2.855	31.22	26.756	34.878	29.76	55.27	4.377	1.81	3.26	31.879	26.85	35.434	31.145	58.029	3.791	1.562	3.784	2.417	2.928	5.331	1.37	5.748	0.941	0.955	1.786	2.147	1.954	2.867	1.938	4.232	0.943	0.999	0.828	1.893	0.75	0.86	0.381	1.632	0.702	0.688
30.00663	2.365	31.12	27.683	36.58	30.319	1.016	3.383	1.154	2.979	31.3	26.973	34.876	30.165	55.39	4.635	1.882	3.33	32.252	27.794	35.566	31.28	58.202	3.699	1.74	3.907	2.403	2.917	5.4	1.334	5.871	0.932	0.811	1.747	2.19	2.106	2.857	1.955	4.437	0.988	0.91	0.954	1.802	0.661	0.797	0.588	1.622	0.639	0.814
30.17329	2.379	31.505	27.043	36.996	30.542	0.864	3.584	1.327	2.912	31.741	27.168	35.561	30.119	55.768	4.731	1.974	3.425	31.674	27.235	35.578	30.993	58.689	4.198	1.7	4.031	2.583	3.039	5.47	1.454	6.048	0.891	0.878	1.871	2.286	2.333	3.166	2.102	4.612	1.027	1.003	0.804	1.896	0.753	0.809	0.6	1.715	0.813	0.745
30.33998	2.315	32.044	27.422	36.778	30.516	0.857	3.548	1.345	3.009	32.063	27.331	35.692	29.985	55.996	4.854	2.019	3.414	32.45	27.372	36.221	31.316	59.05	3.703	1.609	3.911	2.677	3.244	5.619	1.525	6.09	0.935	0.787	1.993	2.301	2.27	3.048	2.12	4.602	0.937	0.94	0.822	1.886	0.825	0.854	0.591	1.572	0.777	0.683
30.50663	2.301	31.739	27.39	36.9	30.616	0.9	3.535	1.281	2.834	32.509	27.646	35.411	29.977	56.156	4.839	1.927	3.373	31.926	27.178	36.424	31.199	59.397	4.092	1.677	4.163	2.47	3.257	5.791	1.593	6.397	1.003	0.854	2.003	2.366	2.311	3.224	2.027	4.615	1.06	0.981	0.945	2.006	0.894	0.788	0.552	1.694	0.765	0.886
30.67319	2.423	31.911	26.657	37.489	30.71	0.658	4.038	1.358	2.929	32.245	27.097	35.811	29.962	56.433	4.96	2.057	3.413	32.941	27.116	36.235	31.343	59.509	4.132	1.668	4.172	2.445	3.192	5.96	1.478	6.193	0.969	0.844	1.851	2.324	2.223	3.161	2.127	4.631	0.974	1.054	1.073	1.86	0.834	0.808	0.545	1.661	0.733	0.775
30.83996	2.36	31.525	26.429	37.244	30.941	0.832	3.812	1.264	2.947	31.594	27.971	35.781	30.006	56.851	5.22	1.991	3.377	32.026	27.398	36.526	31.548	59.58	4.124	1.684	4.273	2.468	3.37	6.062	1.413	6.481	0.904	0.915	1.979	2.343	2.373	3.258	2.089	4.809	0.989	0.962	0.846	1.878	0.688	0.823	0.534	1.703	0.774	0.735
31.00671	2.363	31.91	26.517	37.468	30.789	0.727	3.977	1.321	2.977	31.388	27.577	36.113	30.095	57.268	5.304	2.074	3.596	32.868	27.406	36.589	31.289	59.836	4.396	1.929	4.197	2.607	3.535	6.469	1.631	6.565	0.934	0.864	2.037	2.428	2.484	3.341	2.092	4.92	0.992	1.073	0.876	1.935	0.852	0.853	0.617	1.759	0.777	0.818
31.17332	2.521	31.203	26.617	37.673	30.941	0.912	4.108	1.452	3.027	31.621	27.327	35.969	30.328	57.656	5.435	2.205	3.673	32.509	27.452	36.364	31.28	60.117	4.258	1.791	4.219	2.629	3.531	6.384	1.574	6.857	0.904	0.915	2.032	2.424	2.534	3.446	2.303	4.917	0.989	1.043	1.008	2.012	0.768	0.823	0.534	1.676	0.613	0.869
31.33999	2.414	33.056	27.046	36.841	30.485	0.751	4.108	1.775	2.974	31.97	26.817	36.21	30.086	57.871	5.596	2.179	3.619	32.563	27.774	36.767	31.441	60.869	4.258	1.872	4.434	2.683	3.692	6.706	1.494	6.776	1.146	0.941	1.979	2.424	2.615	3.499	2.169	4.917	0.989	1.07	1.034	2.012	0.849	0.85	0.56	1.676	0.855	0.816
31.50661	2.567	32.608	27.272	37.143	31.058	0.961	4.343	1.447	3.101	31.763	27.23	36.19	30.31	58.165	5.669	2.253	3.773	32.623	27.757	37.23	31.45	61.188	4.734	1.946	4.587	2.62	3.685	6.805	1.568	6.795	0.925	1.069	2.132	2.389	2.635	3.519	2.163	5.044	1.117	0.983	1.002	1.924	0.869	0.764	0.554	1.777	0.768	0.702
31.67338	2.363	32.447	27.215	38.005	31.111	1.076	4.406	1.804	3.031	32.113	27.524	36.865	30.444	58.449	5.922	2.369	3.677	32.412	27.621	37.502	31.477	61.984	4.826	2.09	4.519	2.688	3.803	6.979	1.497	7.183	1.068	1.025	2.117	2.428	2.618	3.449	2.226	5.162	1.233	0.831	1.011	1.935	0.798	0.826	0.644	1.786	0.75	0.711
31.83999	2.404	31.834	27.409	38.105	30.892	1.056	4.463	1.495	3.072	32.243	27.867	36.808	30.555	58.777	6.055	2.443	3.669	32.383	27.82	37.551	31.271	62.325	4.793	1.88	4.662	2.768	3.979	7.29	1.687	7.242	1.202	1.061	2.123	2.533	2.809	3.643	2.252	5.281	1.254	0.99	0.896	1.919	0.819	0.796	0.639	1.783	0.851	0.726
32.00668	2.514	32.285	27.083	37.819	30.751	0.876	4.656	1.448	3.128	32.123	27.375	36.656	30.412	58.892	6.027	2.503	3.778	32.554	27.762	37.453	31.721	62.788	4.928	1.938	4.632	2.843	4.143	7.313	1.664	7.402	1.018	0.875	2.256	2.532	2.813	3.62	2.311	5.23	1.152	0.968	1.091	2.03	0.852	0.828	0.564	1.761	0.83	0.652
32.17334	2.368	32.824	27.503	38.203	30.677	0.991	4.812	1.507	3.171	32.87	27.25	36.715	30.254	59.089	6.092	2.315	3.71	32.935	27.641	37.513	31.558	62.816	5.183	1.959	4.718	2.569	4.158	7.422	1.66	7.408	1.123	0.975	2.101	2.355	2.835	3.64	2.281	5.247	1.233	0.859	0.876	1.886	0.879	0.773	0.564	1.706	0.777	0.656
32.34004	2.58	32.411	27.806	38.237	30.771	0.892	4.805	1.68	3.14	32.329	27.125	37.1	30.646	59.508	6.524	2.572	3.789	32.756	27.594	37.898	31.334	63.538	5.129	2.033	4.723	2.743	4.29	7.484	1.732	7.601	1.167	0.942	2.159	2.517	2.854	3.849	2.298	5.458	1.221	1.064	0.863	1.935	0.84	0.924	0.687	1.749	0.845	0.641
32.50667	2.551	32.582	27.74	38.426	31.052	0.926	4.994	1.604	3.165	32.092	27.543	36.614	30.307	59.661	6.735	2.548	3.894	33.158	27.206	37.6	31.72	63.767	5.206	2.14	4.77	2.866	4.342	7.852	1.679	7.837	1.196	0.996	2.206	2.54	2.935	3.795	2.354	5.511	1.332	0.931	1.055	2.041	0.897	0.98	0.501	1.751	0.875	0.834
32.67343	2.492	32.663	27.439	38.244	30.915	0.887	5.122	1.675	3.214	31.474	27.675	37.107	30.871	60.018	6.732	2.674	3.998	33.14	27.794	38.147	31.909	63.939	5.391	2.08	4.849	2.733	4.444	8.365	1.726	7.782	1.215	1.07	2.366	2.644	3.09	4.004	2.4	5.532	1.35	0.977	1.316	2.009	0.915	0.837	0.681	1.851	0.92	0.716
32.84004	2.627	32.286	26.833	38.066	30.974	0.903	5.152	1.498	3.214	32.761	27.789	37.195	30.819	60.363	6.617	2.629	3.968	33.065	27.697	38.316	31.638	64.465	5.52	2.191	4.974	2.958	4.685	8.349	1.812	8.041	1.195	1.019	2.249	2.531	3.282	4.006	2.352	5.828	1.386	0.984	1.055	1.956	0.95	0.872	0.662	1.724	0.849	0.916
33.00675	2.677	32.492	27.067	38.593	31.154	1.062	5.256	1.63	3.452	31.999	27.7	37.158	30.569	60.671	7.205	2.626	4.018	32.813	27.904	38.278	31.791	64.584	5.597	2.376	4.97	2.819	4.708	8.425	1.755	8.09	1.272	1.016	2.299	2.581	2.956	4.003	2.43	5.717	1.302	1.008	0.972	2.033	0.867	0.869	0.659	1.775	0.846	0.752
33.17353	2.656	32.95	27.732	38.065	31.636	1.031	5.421	1.736	3.35	32.567	27.965	37.654	30.621	61.208	6.973	2.815	4.079	33.471	28.059	38.479	31.926	65.206	5.633	2.379	5.251	3.077	5.146	8.952	1.865	8.156	1.274	1.127	2.364	2.724	3.336	4.115	2.512	5.911	1.329	1.116	1.079	2.038	0.84	0.95	0.525	1.829	0.872	0.75
33.34009	2.65	32.894	28.529	38.415	31.587	1.023	5.526	1.776	3.397	32.771	27.921	37.272	30.571	61.201	7.197	2.635	4.041	32.658	27.78	38.473	31.977	65.375	5.913	2.164	5.228	2.989	5.001	9.106	1.787	8.375	1.466	0.991	2.344	2.603	3.256	4.113	2.436	6.011	1.337	0.881	1.061	1.954	0.982	0.823	0.507	1.836	0.828	0.79
33.5067	2.678	33.661	27.748	38.505	31.286	1.005	5.69	1.676	3.318	32.384	27.541	37.495	30.537	61.097	7.703	2.989	4.015	33.497	27.241	38.508	31.833	65.348	5.992	2.301	5.117	2.849	5.215	9.046	1.738	8.505	1.417	1.102	2.449	2.656	3.393	4.115	2.441	6.12	1.343	1.101	1.228	1.929	0.881	0.802	0.512	1.708	0.888	0.77
