	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
45.00789	4.648	1.364	1.566	48.167	47.744	11.514	22.118	40.171	6.059	1.572	1.195	45.535	34.638	26.891	20.385	21.176	4.735	0.86	0.521	47.501	51.041	28.83	22.444	25.262
45.1745	4.734	1.336	1.909	48.825	47.229	11.514	22.289	40.685	6.259	1.6	1.167	45.45	34.81	27.149	19.928	21.547	4.992	0.889	0.549	47.187	50.927	28.973	22.386	24.919
45.34126	4.935	1.484	1.743	48.286	47.578	11.852	22.756	40.36	6.143	1.978	1.231	45.715	34.633	27.125	20.226	21.958	4.9	0.952	0.614	47.621	50.759	28.663	22.481	24.955
45.50794	5.005	1.09	1.377	49.038	47.955	11.702	22.827	40.119	6.331	1.84	1.206	46.003	34.584	26.603	20.579	21.742	4.695	0.728	0.646	47.227	50.968	29.114	22.582	25.315
45.67459	5.063	1.353	1.698	48.469	47.19	12.155	23.066	40.48	6.415	1.418	1.185	46.011	34.693	27.922	20.648	22.381	4.889	0.963	0.511	47.462	50.457	29.375	22.705	25.094
45.84126	4.865	1.244	1.589	48.673	47.539	12.007	23.018	40.612	6.527	1.91	1.477	45.763	34.716	27.013	21.002	21.82	4.883	0.742	0.433	47.41	50.746	29.691	22.742	25.358
46.00786	4.933	1.445	1.474	49.136	47.566	12.119	23.309	40.582	6.805	1.708	1.446	46.786	34.786	27.659	21.403	22.623	5.056	0.911	0.627	47.152	50.552	29.742	23.293	25.341
46.17469	5.053	1.425	1.541	49.067	47.271	11.977	23.326	40.64	6.864	1.919	1.285	46.349	34.734	27.272	21.536	22.527	4.855	0.892	0.696	47.429	50.941	30.468	23.08	25.27
46.34127	5.14	1.317	1.604	48.842	47.535	11.915	23.735	40.543	7.004	1.411	1.349	45.842	34.729	27.647	21.575	22.622	4.992	0.87	0.589	47.264	50.744	30.527	23.403	25.22
46.50797	5.091	1.519	1.835	48.952	47.869	12.074	23.828	40.834	7.103	2.012	1.464	46.26	35.27	28.29	21.637	23.0	5.353	0.785	0.56	47.799	50.539	31.202	23.554	25.029
46.67471	5.262	1.347	1.577	49.095	47.641	11.959	23.657	40.863	7.246	1.669	1.349	46.375	35.041	28.376	21.637	23.801	5.353	1.043	0.617	47.456	51.083	30.401	23.526	25.401
46.8413	5.587	1.594	1.597	49.157	47.394	12.104	23.719	40.549	7.079	1.661	1.598	46.616	35.022	28.257	21.902	23.091	5.066	1.205	0.582	47.665	50.774	30.566	23.957	25.917
47.00811	5.454	1.431	1.462	49.27	47.677	12.572	23.849	40.943	7.604	1.839	1.349	45.9	35.043	28.275	22.089	23.079	5.134	0.927	0.504	47.178	51.543	31.897	23.888	25.962
47.17479	5.91	1.345	1.547	49.07	47.906	12.4	24.106	40.943	7.632	2.096	1.235	46.642	34.958	28.047	22.66	23.536	5.306	0.927	0.761	47.435	51.115	31.241	24.088	25.505
47.34137	5.391	1.536	1.738	49.139	47.658	12.343	24.09	40.771	7.745	1.486	1.253	46.078	35.181	27.949	22.3	23.29	5.364	1.117	0.607	47.53	51.641	31.202	24.13	25.719
47.50799	5.648	1.531	1.76	49.136	47.766	12.434	24.081	40.754	7.835	2.223	1.36	46.414	35.015	28.832	22.205	23.339	5.285	0.911	0.627	47.696	50.494	31.487	24.094	26.313
47.67468	5.532	1.457	1.83	48.897	48.61	12.737	24.43	41.535	7.962	2.119	1.54	46.907	35.319	28.71	22.348	23.685	5.305	0.862	0.547	47.679	51.201	31.946	24.36	25.894
